alcaldia,colonia,clave_colonia,total_200629,total_200630,total_200701,total_200702,total_200703,total_200704,total_200705,total_200706,total_200707,total_200708,total_200709,total_200710,total_200711,total_200712,total_200713,total_200714,total_200715,total_200716,total_200717,total_200718,total_200719,total_200720,total_200721,total_200722,total_200723
GUSTAVO A. MADERO,BENITO JUAREZ,05-011,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUSTAVO A. MADERO,CONSTITUCION DE LA REPUBLICA,05-029,8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,10,9
GUSTAVO A. MADERO,CTM ATZACOALCO (U HAB),05-031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUSTAVO A. MADERO,CTM EL RISCO (U HAB),05-032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,NA,NA,NA,NA,NA,NA,NA,7,7,6,NA
GUSTAVO A. MADERO,CUCHILLA DEL TESORO,05-035,12,11,11,11,11,12,13,13,13,14,14,14,14,14,12,8,10,10,13,12,13,12,12,12,11
GUSTAVO A. MADERO,ESTANZUELA,05-054,NA,NA,NA,NA,NA,6,6,6,8,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUSTAVO A. MADERO,GERTRUDIS SANCHEZ 2A SECCION,05-067,7,NA,NA,NA,6,8,8,6,7,11,9,9,7,NA,NA,NA,NA,NA,6,7,NA,NA,NA,NA,NA
GUSTAVO A. MADERO,GUADALUPE PROLETARIA,05-072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
GUSTAVO A. MADERO,LA FORESTAL,05-098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6
GUSTAVO A. MADERO,LA JOYA,05-102,NA,NA,NA,NA,7,7,NA,NA,NA,NA,8,9,11,11,10,10,8,9,11,11,9,10,10,11,11
GUSTAVO A. MADERO,MARTIRES DE RIO BLANCO,05-124,8,8,8,10,8,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUSTAVO A. MADERO,NUEVA INDUSTRIAL VALLEJO (FRACC),05-129,NA,NA,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUSTAVO A. MADERO,PALMATITLA,05-132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,8,8,7,8,8,8,8
GUSTAVO A. MADERO,SALVADOR DIAZ MIRON,05-149,NA,NA,NA,NA,NA,7,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6
GUSTAVO A. MADERO,SAN JUAN DE ARAGON (PBLO),05-156,8,12,9,7,9,14,11,8,10,11,10,11,10,10,8,8,9,9,11,11,15,16,15,17,17
GUSTAVO A. MADERO,SANTA ISABEL TOLA (PBLO),05-170,NA,NA,NA,NA,8,9,9,8,9,9,10,10,9,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUSTAVO A. MADERO,TLALPEXCO,05-184,NA,NA,NA,NA,NA,NA,6,6,6,6,6,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUSTAVO A. MADERO,25 DE JULIO,05-208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
GUSTAVO A. MADERO,CAMPESTRE ARAGON II,05-216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,8,7,6
GUSTAVO A. MADERO,INDUSTRIAL II,05-224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,6,6,6,NA,NA,NA,NA,NA,7,NA,NA,NA
GUSTAVO A. MADERO,LINDAVISTA I,05-225,NA,NA,NA,NA,NA,6,7,6,7,7,7,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUSTAVO A. MADERO,NUEVA ATZACOALCO I,05-229,NA,NA,6,7,10,13,12,9,7,8,9,11,12,10,9,7,7,8,8,9,8,17,16,17,16
GUSTAVO A. MADERO,NUEVA ATZACOALCO III,05-231,NA,NA,NA,NA,NA,6,7,6,6,NA,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
GUSTAVO A. MADERO,SAN FELIPE DE JESUS II,05-238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,NA
GUSTAVO A. MADERO,SAN JUAN DE ARAGON 4A  Y 5A SECCION (U HAB) II,05-246,9,9,9,9,13,12,10,NA,NA,NA,NA,NA,7,6,6,6,6,8,9,8,8,7,6,NA,NA
GUSTAVO A. MADERO,SAN JUAN DE ARAGON 7 SECC (U HAB) I,05-247,10,8,8,8,8,8,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUSTAVO A. MADERO,VALLEJO I,05-249,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,9,11,12,11,12,13,11,10,10,7,7,8,9,8
GUSTAVO A. MADERO,ZONA ESCOLAR II,05-252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUSTAVO A. MADERO,SAN JUAN DE ARAGON 6A SECCION (U HAB) II,05-256,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MILPA ALTA,SAN JERONIMO MIACATLAN (PBLO),09-005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,9,13,14,14,13,15,14,13,10,8,8,8,7
MILPA ALTA,SAN PEDRO ATOCPAN (PBLO),09-009,18,18,14,16,15,13,13,8,12,11,10,9,6,6,6,6,7,7,6,7,7,10,9,9,11
MILPA ALTA,SANTA ANA TLACOTENCO (PBLO),09-011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,NA,6,10,9,8,9,11,12,10,8,7,7,NA
TLALPAN,CANTERA PUENTE DE PIEDRA,12-018,7,7,8,9,9,8,9,8,7,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TLALPAN,LA JOYA,12-072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA
TLALPAN,LA TORTUGA XOLALPA-HCO COLEGIO MILITAR,12-077,8,8,8,8,9,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
