alcaldia,colonia,clave_colonia,total_200801,total_200802
GUSTAVO A. MADERO,C T M ARAGON (U),05-014,NA,6
GUSTAVO A. MADERO,CONSTITUCION DE LA REPUBLICA,05-029,NA,6
GUSTAVO A. MADERO,CUCHILLA DEL TESORO,05-035,11,11
GUSTAVO A. MADERO,LA FORESTAL,05-098,6,NA
GUSTAVO A. MADERO,LA JOYA,05-102,10,10
GUSTAVO A. MADERO,SAN JUAN DE ARAGON (PBLO),05-156,11,10
GUSTAVO A. MADERO,SAN JUAN Y GUADALUPE TICOMAN (BARR),05-164,7,6
GUSTAVO A. MADERO,TLALPEXCO,05-184,11,10
GUSTAVO A. MADERO,NUEVA ATZACOALCO I,05-229,24,21
GUSTAVO A. MADERO,NUEVA ATZACOALCO III,05-231,10,9
GUSTAVO A. MADERO,SAN JUAN DE ARAGON 1A SECCION (U HAB) I,05-241,7,7
GUSTAVO A. MADERO,SAN JUAN DE ARAGON 4A  Y 5A SECCION (U HAB) II,05-246,6,NA
MILPA ALTA,SAN PEDRO ATOCPAN (PBLO),09-009,8,NA
TLALPAN,"MESA LOS HORNOS, TEXCALTENCO",12-094,8,8
TLALPAN,MIGUEL HIDALGO,12-095,13,9
TLALPAN,POPULAR STA TERESA,12-127,7,8
TLALPAN,SAN MIGUEL  XICALCO (PBLO),12-154,NA,6
TLALPAN,SAN MIGUEL TOPILEJO (PBLO),12-157,28,36
TLALPAN,SAN PEDRO MARTIR (PBLO),12-160,19,23
TLALPAN,SANTO TOMAS AJUSCO (PBLO),12-163,14,12
TLALPAN,TLALCOLIGIA,12-175,10,9
TLALPAN,XAXALCO,12-200,7,8
TLALPAN,HEROES DE PADIERNA I,12-209,16,15
TLALPAN,LOMAS DE  PADIERNA I,12-211,14,12
XOCHIMILCO,CRISTO REY,13-009,6,6
XOCHIMILCO,SAN ANDRES AHUAYUCAN (PBLO),13-035,7,7
XOCHIMILCO,SAN GREGORIO ATLAPULCO (PBLO),13-043,32,33
XOCHIMILCO,SAN LUIS TLAXIALTEMALCO (PBLO),13-053,7,NA
IZTACALCO,LOS REYES,06-018,7,NA
IZTACALCO,AGRICOLA ORIENTAL VI,06-045,7,8
IZTACALCO,GRANJAS MEXICO I,06-050,7,6
IZTACALCO,GRANJAS MEXICO II,06-051,8,9
IZTACALCO,PANTITLAN I,06-056,6,NA
TLAHUAC,DEL MAR SUR,11-004,10,8
TLAHUAC,LA HABANA,11-016,9,8
TLAHUAC,LAS ARBOLEDAS,11-021,8,8
TLAHUAC,SAN ANDRES MIXQUIC (PBLO),11-031,6,6
TLAHUAC,SAN JUAN IXTAYOPAN (PBLO),11-034,6,NA
TLAHUAC,SAN MIGUEL ZAPOTITLA,11-036,6,6
TLAHUAC,SAN PEDRO TLAHUAC (PBLO),11-038,13,11
TLAHUAC,SANTA CATARINA YECAHUIZOTL (PBLO),11-040,10,9
TLAHUAC,SANTA CECILIA,11-041,7,NA
TLAHUAC,SELENE (AMPL),11-043,14,10
TLAHUAC,SELENE 1a SECC,11-044,7,NA
TLAHUAC,SELENE 2da SECC,11-045,12,12
TLAHUAC,UNIDADES HABITACIONALES DE SANTA ANA PONIENTE II,11-058,17,15
AZCAPOTZALCO,EL ROSARIO C (U HAB),02-025,20,20
AZCAPOTZALCO,NUEVA SANTA MARIA,02-052,7,7
AZCAPOTZALCO,SAN JUAN TLIHUACA (PBLO),02-079,32,33
AZCAPOTZALCO,SANTIAGO AHUIZOTLA (PBLO),02-097,8,9
AZCAPOTZALCO,SAN PEDRO XALPA (AMPL) I,02-111,7,7
AZCAPOTZALCO,SAN PEDRO XALPA (AMPL) II,02-112,10,9
AZCAPOTZALCO,PRO HOGAR I,02-113,6,NA
ALVARO OBREGON,JALALPA EL GRANDE,10-089,8,8
ALVARO OBREGON,LOMAS DE LA ERA,10-132,18,18
