alcaldia,colonia,clave_colonia,total_200801,total_200802,total_200803,total_200804,total_200805,total_200806,total_200807,total_200808,total_200809,total_200810,total_200811,total_200812,total_200813,total_200814,total_200815
GUSTAVO A. MADERO,C T M ARAGON (U),05-014,NA,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUSTAVO A. MADERO,CONSTITUCION DE LA REPUBLICA,05-029,6,7,8,6,NA,NA,6,6,NA,NA,NA,NA,NA,NA,NA
GUSTAVO A. MADERO,CTM ATZACOALCO (U HAB),05-031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA
GUSTAVO A. MADERO,CUCHILLA DEL TESORO,05-035,11,9,8,6,6,NA,6,NA,7,7,NA,10,13,14,15
GUSTAVO A. MADERO,LA JOYA,05-102,10,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUSTAVO A. MADERO,SAN JUAN DE ARAGON (PBLO),05-156,15,14,16,12,6,7,10,7,8,7,7,6,9,12,16
GUSTAVO A. MADERO,SAN JUAN Y GUADALUPE TICOMAN (BARR),05-164,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA
GUSTAVO A. MADERO,SANTA ISABEL TOLA (PBLO),05-170,NA,NA,NA,NA,NA,NA,7,6,7,NA,NA,6,7,6,NA
GUSTAVO A. MADERO,TLALPEXCO,05-184,10,8,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUSTAVO A. MADERO,25 DE JULIO,05-208,9,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUSTAVO A. MADERO,CAMPESTRE ARAGON II,05-216,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUSTAVO A. MADERO,LINDAVISTA I,05-225,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
GUSTAVO A. MADERO,NUEVA ATZACOALCO I,05-229,21,19,22,16,16,16,16,14,14,13,12,6,8,8,8
GUSTAVO A. MADERO,NUEVA ATZACOALCO III,05-231,9,8,8,8,12,10,13,11,10,10,11,14,16,14,12
GUSTAVO A. MADERO,SAN FELIPE DE JESUS II,05-238,NA,NA,NA,NA,NA,NA,8,8,10,9,6,6,6,6,6
GUSTAVO A. MADERO,SAN JUAN DE ARAGON 1A SECCION (U HAB) I,05-241,7,6,7,NA,6,8,8,7,7,7,6,6,NA,NA,6
GUSTAVO A. MADERO,SAN JUAN DE ARAGON 2A SECCION (U HAB) II,05-244,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUSTAVO A. MADERO,SAN JUAN DE ARAGON 4A  Y 5A SECCION (U HAB) II,05-246,NA,NA,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
GUSTAVO A. MADERO,SAN JUAN DE ARAGON 7 SECC (U HAB) I,05-247,NA,NA,NA,6,6,6,6,NA,NA,NA,6,NA,NA,NA,NA
GUSTAVO A. MADERO,VALLEJO I,05-249,NA,NA,NA,NA,NA,NA,6,6,6,NA,NA,NA,NA,NA,NA
MILPA ALTA,SAN PEDRO ATOCPAN (PBLO),09-009,9,8,8,6,7,8,11,13,10,7,7,6,NA,NA,7
MILPA ALTA,SANTA ANA TLACOTENCO (PBLO),09-011,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,6,6,6,NA
TLALPAN,CANTERA PUENTE DE PIEDRA,12-018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6
TLALPAN,LOS  ENCINOS,12-087,NA,NA,NA,NA,NA,NA,NA,6,6,NA,NA,NA,NA,NA,NA
TLALPAN,"MESA LOS HORNOS, TEXCALTENCO",12-094,8,8,8,6,6,6,6,7,NA,NA,NA,NA,NA,6,10
TLALPAN,MIGUEL HIDALGO,12-095,9,10,8,8,8,10,10,14,10,9,9,15,16,17,19
TLALPAN,PEDREGAL DE STA URSULA XITLA,12-121,NA,NA,NA,6,6,NA,NA,6,6,NA,NA,NA,NA,NA,NA
TLALPAN,POPULAR STA TERESA,12-127,7,8,8,7,NA,6,7,6,NA,NA,NA,NA,NA,NA,NA
TLALPAN,SAN MIGUEL  XICALCO (PBLO),12-154,NA,6,6,7,7,6,10,10,8,7,NA,NA,NA,NA,NA
TLALPAN,SAN MIGUEL TOPILEJO (PBLO),12-157,23,32,31,32,30,28,26,27,19,18,13,16,14,12,16
TLALPAN,SAN PEDRO MARTIR (PBLO),12-160,24,28,26,13,8,9,12,17,19,19,13,11,13,13,11
TLALPAN,SANTO TOMAS AJUSCO (PBLO),12-163,11,12,10,11,8,9,11,12,11,10,8,9,12,14,16
TLALPAN,TLALCOLIGIA,12-175,8,9,8,NA,NA,NA,NA,NA,NA,NA,7,7,8,10,13
TLALPAN,XAXALCO,12-200,7,8,8,9,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
TLALPAN,HEROES DE PADIERNA I,12-209,14,13,12,11,10,6,NA,NA,NA,NA,NA,6,NA,NA,NA
TLALPAN,LOMAS DE  PADIERNA I,12-211,11,11,11,11,7,NA,NA,NA,NA,NA,NA,6,6,6,8
TLALPAN,ISIDRO FABELA II (ORIENTE),12-220,NA,NA,NA,NA,NA,NA,NA,6,6,NA,NA,6,8,7,6
XOCHIMILCO,CRISTO REY,13-009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
XOCHIMILCO,SAN ANDRES AHUAYUCAN (PBLO),13-035,7,7,6,8,8,8,8,6,6,NA,NA,NA,6,NA,NA
XOCHIMILCO,SAN GREGORIO ATLAPULCO (PBLO),13-043,27,30,26,30,33,31,33,32,32,30,26,27,26,23,31
XOCHIMILCO,SAN LUIS TLAXIALTEMALCO (PBLO),13-053,NA,NA,NA,NA,10,10,10,9,9,8,NA,NA,NA,NA,NA
IZTACALCO,LOS REYES,06-018,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IZTACALCO,AGRICOLA ORIENTAL I,06-040,NA,NA,NA,NA,NA,7,9,11,11,6,NA,NA,6,6,NA
IZTACALCO,AGRICOLA ORIENTAL VI,06-045,7,6,6,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA
IZTACALCO,GRANJAS MEXICO I,06-050,8,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IZTACALCO,GRANJAS MEXICO II,06-051,12,13,11,7,7,8,7,6,7,6,8,NA,NA,6,6
IZTACALCO,PANTITLAN I,06-056,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,9,10,7,7,7
TLAHUAC,DEL MAR SUR,11-004,9,8,8,6,6,NA,NA,NA,NA,NA,6,8,7,7,8
TLAHUAC,LA HABANA,11-016,8,8,8,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
TLAHUAC,LAS ARBOLEDAS,11-021,8,7,6,NA,NA,NA,7,9,7,7,7,7,8,9,10
TLAHUAC,SAN ANDRES MIXQUIC (PBLO),11-031,6,NA,NA,NA,NA,NA,NA,6,6,7,8,11,12,10,10
TLAHUAC,SAN MIGUEL ZAPOTITLA,11-036,6,6,NA,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TLAHUAC,SAN PEDRO TLAHUAC (PBLO),11-038,11,8,7,10,9,15,14,15,13,13,9,13,11,9,12
TLAHUAC,SANTA CATARINA YECAHUIZOTL (PBLO),11-040,9,8,7,6,6,NA,NA,7,7,7,6,7,NA,NA,NA
TLAHUAC,SANTA CECILIA,11-041,7,NA,NA,NA,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
TLAHUAC,SELENE (AMPL),11-043,11,9,8,8,25,29,34,35,30,23,21,20,18,16,12
TLAHUAC,SELENE 1a SECC,11-044,6,NA,NA,NA,7,9,11,10,10,10,10,11,10,8,10
TLAHUAC,SELENE 2da SECC,11-045,12,12,10,9,11,16,16,15,15,13,11,12,6,NA,NA
TLAHUAC,UNIDADES HABITACIONALES DE SANTA ANA PONIENTE I,11-055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,9,NA,6
TLAHUAC,UNIDADES HABITACIONALES DE SANTA ANA PONIENTE II,11-058,15,14,14,10,8,7,6,NA,NA,NA,NA,NA,NA,NA,NA
AZCAPOTZALCO,EL ROSARIO C (U HAB),02-025,19,19,17,13,13,12,10,10,10,11,12,12,10,10,10
AZCAPOTZALCO,EUZKADI,02-026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,8,8,8
AZCAPOTZALCO,NUEVA SANTA MARIA,02-052,7,NA,NA,NA,NA,NA,NA,7,7,7,NA,NA,NA,NA,NA
AZCAPOTZALCO,OBRERO POPULAR,02-054,NA,NA,6,NA,NA,6,8,8,8,6,6,NA,NA,6,NA
AZCAPOTZALCO,SAN ANDRES (BARR),02-071,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,8,7,7,6
AZCAPOTZALCO,SAN JUAN TLIHUACA (PBLO),02-079,32,32,32,25,18,14,10,12,12,10,10,12,11,10,9
AZCAPOTZALCO,SANTIAGO AHUIZOTLA (PBLO),02-097,8,9,8,NA,NA,NA,NA,6,NA,NA,NA,7,8,8,6
AZCAPOTZALCO,SAN PEDRO XALPA (AMPL) I,02-111,7,7,7,6,NA,NA,NA,11,10,10,8,9,10,11,6
AZCAPOTZALCO,SAN PEDRO XALPA (AMPL) II,02-112,10,10,10,10,9,7,NA,NA,NA,NA,NA,NA,NA,NA,6
