"","alcaldia","colonia","clave_colonia","total_210308","total_210309","total_210310","total_210311","total_210312","total_210313","total_210314"
"1","AZCAPOTZALCO","ARENAL","02-006",7,7,NA,9,9,9,9
"2","AZCAPOTZALCO","CUITLHUAC 3 Y 4 (U HAB)","02-014",6,NA,NA,NA,6,7,NA
"3","AZCAPOTZALCO","DEL GAS","02-015",8,9,10,12,12,12,10
"4","AZCAPOTZALCO","DEL RECREO","02-018",15,16,17,15,13,12,9
"5","AZCAPOTZALCO","EL ROSARIO C (U HAB)","02-025",24,24,21,22,24,25,26
"6","AZCAPOTZALCO","NUEVO SAN RAFAEL (BARR)","02-053",NA,NA,NA,NA,NA,NA,NA
"7","AZCAPOTZALCO","SAN  MIGUEL AMANTLA (PBLO)","02-069",13,15,17,18,16,15,14
"8","AZCAPOTZALCO","SAN JUAN TLIHUACA (PBLO)","02-079",6,6,6,6,9,7,7
"9","AZCAPOTZALCO","SAN MARCOS (BARR)","02-080",10,12,12,13,11,11,11
"10","AZCAPOTZALCO","SAN PEDRO XALPA (PBLO)","02-085",6,6,6,6,6,6,NA
"11","AZCAPOTZALCO","SANTIAGO AHUIZOTLA (PBLO)","02-097",14,15,18,17,18,19,17
"12","AZCAPOTZALCO","SANTO TOMAS","02-099",17,16,13,12,13,14,12
"13","AZCAPOTZALCO","TEZOZOMOC","02-102",23,25,23,21,19,19,17
"14","AZCAPOTZALCO","TLATILCO","02-104",12,10,6,6,6,NA,NA
"15","AZCAPOTZALCO","SAN PEDRO XALPA (AMPL) I","02-111",19,21,22,23,21,21,19
"16","AZCAPOTZALCO","SAN PEDRO XALPA (AMPL) II","02-112",6,NA,NA,NA,6,NA,NA
"17","COYOACAN","CTM V CULHUACAN (U HAB)","03-029",18,17,17,18,18,17,16
"18","COYOACAN","CTM VI CULHUACAN (U HAB)","03-030",16,18,14,15,17,18,17
"19","COYOACAN","CTM VII CULHUACAN (U HAB)","03-031",9,8,8,14,16,17,16
"20","COYOACAN","DE LA CANDELARIA (PBLO)","03-036",8,9,9,9,9,10,11
"21","COYOACAN","DEL CARMEN","03-037",21,21,21,20,17,16,16
"22","COYOACAN","EDUCACION","03-039",14,15,15,14,14,13,10
"23","COYOACAN","LOS REYES (PBLO)","03-078",22,24,28,28,32,32,31
"24","COYOACAN","PRADO CHURUBUSCO","03-094",NA,NA,6,NA,7,8,8
"25","COYOACAN","SAN FRANCISCO CULHUACAN (PBLO)","03-101",18,16,17,17,15,17,13
"26","COYOACAN","SANTA URSULA COAPA (PBLO)","03-109",16,16,12,14,15,17,17
"27","COYOACAN","VIEJO EJIDO SANTA URSULA COAPA","03-113",20,20,18,15,13,12,13
"28","COYOACAN","VILLA COYOACAN","03-114",10,9,9,8,8,9,12
"29","COYOACAN","AJUSCO I","03-128",21,21,24,24,22,19,16
"30","COYOACAN","AJUSCO II","03-129",18,19,20,20,26,25,23
"31","COYOACAN","PEDREGAL DE SANTA URSULA I","03-135",26,24,25,25,24,22,19
"32","COYOACAN","PEDREGAL DE SANTA URSULA II","03-136",16,15,16,14,14,16,17
"33","COYOACAN","PEDREGAL DE SANTA URSULA III","03-137",38,34,33,34,32,33,33
"34","COYOACAN","PEDREGAL DE STO DOMINGO I","03-139",6,9,11,12,12,12,13
"35","COYOACAN","PEDREGAL DE STO DOMINGO II","03-140",21,24,24,25,24,20,21
"36","COYOACAN","PEDREGAL DE STO DOMINGO IV","03-142",43,43,42,38,32,29,26
"37","COYOACAN","PEDREGAL DE STO DOMINGO V","03-143",19,26,28,26,25,24,22
"38","COYOACAN","PEDREGAL DE STO DOMINGO VI","03-144",17,13,16,15,13,14,12
"39","COYOACAN","PEDREGAL DE STO DOMINGO VII","03-145",13,15,13,16,12,9,8
"40","COYOACAN","PEDREGAL DE STO DOMINGO IX","03-147",21,22,22,21,20,20,20
"41","CUAJIMALPA DE MORELOS","EL CONTADERO","04-015",NA,NA,NA,NA,NA,NA,NA
"42","CUAJIMALPA DE MORELOS","LA PILA","04-023",NA,NA,NA,NA,6,6,6
"43","CUAJIMALPA DE MORELOS","LAS LAJAS","04-026",NA,NA,NA,NA,NA,NA,NA
"44","CUAJIMALPA DE MORELOS","TEXCALCO","04-027",NA,NA,NA,NA,NA,NA,NA
"45","CUAJIMALPA DE MORELOS","LOMA DEL PADRE","04-030",NA,NA,7,7,7,7,8
"46","CUAJIMALPA DE MORELOS","NAVIDAD (GRANJAS DE NAVIDAD)","04-036",29,33,34,28,30,30,30
