"","alcaldia","colonia","clave_colonia","total_201212","total_201214","total_201213","total_201215","total_201216","total_201217","total_201218"
"1","AZCAPOTZALCO","ARENAL","02-006",16,13,NA,14,9,7,9
"2","AZCAPOTZALCO","CUITLHUAC 3 Y 4 (U HAB)","02-014",NA,6,NA,8,8,8,9
"3","AZCAPOTZALCO","DEL GAS","02-015",23,24,7,24,21,19,17
"4","AZCAPOTZALCO","DEL RECREO","02-018",18,21,NA,19,24,26,30
"5","AZCAPOTZALCO","EL ROSARIO C (U HAB)","02-025",45,37,NA,37,40,41,40
"6","AZCAPOTZALCO","NUEVO SAN RAFAEL (BARR)","02-053",11,10,NA,10,10,8,7
"7","AZCAPOTZALCO","SAN  MIGUEL AMANTLA (PBLO)","02-069",26,25,NA,29,31,30,32
"8","AZCAPOTZALCO","SAN JUAN TLIHUACA (PBLO)","02-079",47,45,NA,52,54,55,57
"9","AZCAPOTZALCO","SAN MARCOS (BARR)","02-080",16,15,NA,15,14,13,15
"10","AZCAPOTZALCO","SAN PEDRO XALPA (PBLO)","02-085",31,27,NA,25,21,23,23
"11","AZCAPOTZALCO","SANTIAGO AHUIZOTLA (PBLO)","02-097",24,23,NA,27,35,34,39
"12","AZCAPOTZALCO","SANTO TOMAS","02-099",24,23,NA,24,23,20,17
"13","AZCAPOTZALCO","TEZOZOMOC","02-102",33,31,7,29,22,21,22
"14","AZCAPOTZALCO","TLATILCO","02-104",19,20,8,19,21,18,17
"15","AZCAPOTZALCO","SAN PEDRO XALPA (AMPL) I","02-111",35,34,NA,37,40,40,38
"16","AZCAPOTZALCO","SAN PEDRO XALPA (AMPL) II","02-112",17,14,NA,13,14,14,15
"17","COYOACAN","CTM V CULHUACAN (U HAB)","03-029",27,27,NA,29,33,37,39
"18","COYOACAN","CTM VI CULHUACAN (U HAB)","03-030",36,35,7,34,33,37,40
"19","COYOACAN","CTM VII CULHUACAN (U HAB)","03-031",20,17,6,16,14,15,17
"20","COYOACAN","DE LA CANDELARIA (PBLO)","03-036",27,25,7,27,25,25,29
"21","COYOACAN","DEL CARMEN","03-037",28,28,6,27,27,26,28
"22","COYOACAN","EDUCACION","03-039",28,26,NA,29,28,29,32
"23","COYOACAN","LOS REYES (PBLO)","03-078",46,46,14,53,52,53,53
"24","COYOACAN","PRADO CHURUBUSCO","03-094",25,24,11,25,24,21,23
"25","COYOACAN","SAN FRANCISCO CULHUACAN (PBLO)","03-101",26,26,NA,28,29,28,35
"26","COYOACAN","SANTA URSULA COAPA (PBLO)","03-109",56,48,16,54,56,50,44
"27","COYOACAN","VIEJO EJIDO SANTA URSULA COAPA","03-113",25,25,9,23,25,21,25
"28","COYOACAN","VILLA COYOACAN","03-114",11,15,8,14,16,13,14
"29","COYOACAN","AJUSCO I","03-128",60,57,NA,57,55,58,59
"30","COYOACAN","AJUSCO II","03-129",90,86,10,92,93,102,112
"31","COYOACAN","PEDREGAL DE SANTA URSULA I","03-135",45,44,9,45,55,54,61
"32","COYOACAN","PEDREGAL DE SANTA URSULA II","03-136",56,55,8,58,55,63,63
