"","alcaldia","colonia","clave_colonia","total_200831","total_200901","total_200902","total_200903","total_200904","total_200905","total_200906"
"1","AZCAPOTZALCO","ARENAL","02-006",6,NA,6,7,8,9,7
"2","AZCAPOTZALCO","CUITLHUAC 3 Y 4 (U HAB)","02-014",NA,NA,NA,NA,NA,NA,NA
"3","AZCAPOTZALCO","DEL GAS","02-015",9,NA,6,NA,7,8,8
"4","AZCAPOTZALCO","DEL RECREO","02-018",10,7,NA,NA,NA,NA,NA
"5","AZCAPOTZALCO","EL ROSARIO C (U HAB)","02-025",11,10,14,15,21,22,14
"6","AZCAPOTZALCO","NUEVO SAN RAFAEL (BARR)","02-053",NA,13,17,19,18,14,11
"7","AZCAPOTZALCO","SAN  MIGUEL AMANTLA (PBLO)","02-069",11,9,NA,NA,6,7,7
"8","AZCAPOTZALCO","SAN JUAN TLIHUACA (PBLO)","02-079",19,18,17,11,9,9,11
"9","AZCAPOTZALCO","SAN MARCOS (BARR)","02-080",NA,NA,NA,6,7,8,7
"10","AZCAPOTZALCO","SAN PEDRO XALPA (PBLO)","02-085",10,10,8,7,8,11,7
"11","AZCAPOTZALCO","SANTIAGO AHUIZOTLA (PBLO)","02-097",6,NA,NA,NA,NA,NA,NA
"12","AZCAPOTZALCO","SANTO TOMAS","02-099",NA,NA,NA,NA,NA,NA,NA
"13","AZCAPOTZALCO","TEZOZOMOC","02-102",8,10,10,11,10,12,10
"14","AZCAPOTZALCO","TLATILCO","02-104",6,6,NA,6,7,7,NA
"15","AZCAPOTZALCO","SAN PEDRO XALPA (AMPL) I","02-111",18,16,12,11,15,10,10
"16","AZCAPOTZALCO","SAN PEDRO XALPA (AMPL) II","02-112",NA,NA,NA,NA,NA,NA,NA
"17","COYOACAN","CTM V CULHUACAN (U HAB)","03-029",NA,NA,6,7,8,8,7
"18","COYOACAN","CTM VI CULHUACAN (U HAB)","03-030",7,6,NA,8,7,8,8
"19","COYOACAN","CTM VII CULHUACAN (U HAB)","03-031",NA,NA,NA,NA,NA,NA,6
"20","COYOACAN","DE LA CANDELARIA (PBLO)","03-036",7,6,7,NA,NA,NA,NA
"21","COYOACAN","DEL CARMEN","03-037",NA,NA,NA,NA,NA,NA,NA
"22","COYOACAN","EDUCACION","03-039",7,8,7,6,7,NA,NA
"23","COYOACAN","LOS REYES (PBLO)","03-078",16,20,22,21,19,18,15
"24","COYOACAN","PRADO CHURUBUSCO","03-094",NA,NA,NA,NA,NA,NA,NA
"25","COYOACAN","SAN FRANCISCO CULHUACAN (PBLO)","03-101",NA,NA,NA,NA,NA,NA,NA
"26","COYOACAN","SANTA URSULA COAPA (PBLO)","03-109",NA,NA,NA,NA,NA,6,NA
"27","COYOACAN","VIEJO EJIDO SANTA URSULA COAPA","03-113",6,NA,NA,NA,NA,NA,NA
"28","COYOACAN","VILLA COYOACAN","03-114",NA,NA,NA,NA,NA,NA,NA
"29","COYOACAN","AJUSCO I","03-128",17,17,18,19,17,12,12
"30","COYOACAN","AJUSCO II","03-129",9,8,8,13,17,27,25
"31","COYOACAN","PEDREGAL DE SANTA URSULA I","03-135",8,8,7,8,6,11,11
"32","COYOACAN","PEDREGAL DE SANTA URSULA II","03-136",8,8,9,10,11,9,9
"33","COYOACAN","PEDREGAL DE SANTA URSULA III","03-137",22,18,20,21,14,18,15
"34","COYOACAN","PEDREGAL DE STO DOMINGO I","03-139",6,8,8,7,7,7,6
"35","COYOACAN","PEDREGAL DE STO DOMINGO II","03-140",8,8,8,8,8,8,9
"36","COYOACAN","PEDREGAL DE STO DOMINGO IV","03-142",12,13,14,15,13,13,9
"37","COYOACAN","PEDREGAL DE STO DOMINGO V","03-143",7,NA,NA,6,6,8,8
"38","COYOACAN","PEDREGAL DE STO DOMINGO VI","03-144",14,15,15,11,9,9,7
"39","COYOACAN","PEDREGAL DE STO DOMINGO VII","03-145",6,7,8,8,8,NA,NA
"40","COYOACAN","PEDREGAL DE STO DOMINGO IX","03-147",6,6,NA,NA,NA,NA,NA
"41","CUAJIMALPA DE MORELOS","EL CONTADERO","04-015",7,8,8,7,7,9,11
"42","CUAJIMALPA DE MORELOS","LA PILA","04-023",8,8,8,8,8,8,NA
"43","CUAJIMALPA DE MORELOS","LAS LAJAS","04-026",13,14,17,21,23,18,17
"44","CUAJIMALPA DE MORELOS","TEXCALCO","04-027",NA,NA,NA,NA,NA,NA,NA
"45","CUAJIMALPA DE MORELOS","LOMA DEL PADRE","04-030",9,9,11,11,20,18,15
"46","CUAJIMALPA DE MORELOS","NAVIDAD (GRANJAS DE NAVIDAD)","04-036",29,32,27,31,25,30,24
"47","CUAJIMALPA DE MORELOS","PALO ALTO (GRANJAS)","04-038",13,13,6,NA,NA,NA,NA
"48","CUAJIMALPA DE MORELOS","SAN LORENZO ACOPILCO (PBLO)","04-045",12,13,19,16,22,23,17
"49","CUAJIMALPA DE MORELOS","SAN MATEO TLALTENANGO (PBLO)","04-046",14,15,29,29,28,23,30
"50","CUAJIMALPA DE MORELOS","ZENTLAPATL","04-052",6,6,9,9,10,13,12
"51","CUAJIMALPA DE MORELOS","SAN PEDRO CUAJIMALPA (PBLO)","04-056",30,31,36,36,38,22,19
"52","CUAJIMALPA DE MORELOS","SAN JOSE DE LOS CEDROS I","04-058",NA,7,9,10,9,9,8
"53","CUAJIMALPA DE MORELOS","SAN JOSE DE LOS CEDROS II","04-059",13,14,15,12,9,10,8
"54","GUSTAVO A. MADERO","CONSTITUCION DE LA REPUBLICA","05-029",6,NA,NA,NA,NA,NA,NA
