"","alcaldia","colonia","clave_colonia","total_201023","total_201024","total_201025","total_201026","total_201027","total_201029","total_201030"
"1","AZCAPOTZALCO","ARENAL","02-006",6,8,8,NA,NA,10,7
"2","AZCAPOTZALCO","CUITLHUAC 3 Y 4 (U HAB)","02-014",NA,NA,NA,NA,NA,6,NA
"3","AZCAPOTZALCO","DEL GAS","02-015",8,8,9,7,NA,8,NA
"4","AZCAPOTZALCO","DEL RECREO","02-018",14,16,13,16,16,28,14
"5","AZCAPOTZALCO","EL ROSARIO C (U HAB)","02-025",22,26,29,22,22,44,25
"6","AZCAPOTZALCO","NUEVO SAN RAFAEL (BARR)","02-053",NA,NA,NA,NA,NA,NA,NA
"7","AZCAPOTZALCO","SAN  MIGUEL AMANTLA (PBLO)","02-069",10,11,10,9,11,24,8
"8","AZCAPOTZALCO","SAN JUAN TLIHUACA (PBLO)","02-079",13,17,16,16,15,24,13
"9","AZCAPOTZALCO","SAN MARCOS (BARR)","02-080",NA,9,8,6,7,16,9
"10","AZCAPOTZALCO","SAN PEDRO XALPA (PBLO)","02-085",6,8,8,8,7,12,NA
"11","AZCAPOTZALCO","SANTIAGO AHUIZOTLA (PBLO)","02-097",9,11,10,10,9,20,10
"12","AZCAPOTZALCO","SANTO TOMAS","02-099",8,9,8,10,10,20,8
"13","AZCAPOTZALCO","TEZOZOMOC","02-102",22,21,19,21,23,48,27
"14","AZCAPOTZALCO","TLATILCO","02-104",NA,NA,NA,NA,NA,NA,NA
"15","AZCAPOTZALCO","SAN PEDRO XALPA (AMPL) I","02-111",NA,NA,NA,NA,NA,6,NA
"16","AZCAPOTZALCO","SAN PEDRO XALPA (AMPL) II","02-112",NA,11,10,10,8,16,8
"17","COYOACAN","CTM V CULHUACAN (U HAB)","03-029",8,10,10,8,8,16,8
"18","COYOACAN","CTM VI CULHUACAN (U HAB)","03-030",12,13,13,16,18,28,12
"19","COYOACAN","CTM VII CULHUACAN (U HAB)","03-031",18,19,20,19,17,33,14
"20","COYOACAN","DE LA CANDELARIA (PBLO)","03-036",7,7,8,NA,NA,10,NA
"21","COYOACAN","DEL CARMEN","03-037",NA,NA,8,8,9,18,11
"22","COYOACAN","EDUCACION","03-039",7,8,7,NA,7,11,8
"23","COYOACAN","LOS REYES (PBLO)","03-078",17,20,20,21,20,32,15
"24","COYOACAN","PRADO CHURUBUSCO","03-094",7,6,6,6,7,17,10
"25","COYOACAN","SAN FRANCISCO CULHUACAN (PBLO)","03-101",NA,9,9,9,6,14,6
"26","COYOACAN","SANTA URSULA COAPA (PBLO)","03-109",9,11,11,8,10,21,15
"27","COYOACAN","VIEJO EJIDO SANTA URSULA COAPA","03-113",NA,8,7,6,6,13,10
"28","COYOACAN","VILLA COYOACAN","03-114",8,9,10,8,8,15,8
"29","COYOACAN","AJUSCO I","03-128",23,22,24,19,20,39,30
"30","COYOACAN","AJUSCO II","03-129",18,29,30,29,33,71,41
"31","COYOACAN","PEDREGAL DE SANTA URSULA I","03-135",12,11,10,9,8,8,12
"32","COYOACAN","PEDREGAL DE SANTA URSULA II","03-136",15,17,9,9,9,14,15
"33","COYOACAN","PEDREGAL DE SANTA URSULA III","03-137",15,17,15,12,15,31,17
"34","COYOACAN","PEDREGAL DE STO DOMINGO I","03-139",11,10,10,7,6,10,6
"35","COYOACAN","PEDREGAL DE STO DOMINGO II","03-140",NA,NA,6,7,8,14,12
"36","COYOACAN","PEDREGAL DE STO DOMINGO IV","03-142",12,19,21,19,21,42,29
"37","COYOACAN","PEDREGAL DE STO DOMINGO V","03-143",14,13,9,9,8,15,10
"38","COYOACAN","PEDREGAL DE STO DOMINGO VI","03-144",9,10,11,11,10,18,10
"39","COYOACAN","PEDREGAL DE STO DOMINGO VII","03-145",14,12,7,7,7,12,9
"40","COYOACAN","PEDREGAL DE STO DOMINGO IX","03-147",NA,6,NA,6,6,8,10
"41","CUAJIMALPA DE MORELOS","EL CONTADERO","04-015",7,NA,NA,NA,NA,9,6
"42","CUAJIMALPA DE MORELOS","LA PILA","04-023",8,NA,NA,NA,NA,7,8
"43","CUAJIMALPA DE MORELOS","LAS LAJAS","04-026",NA,NA,NA,NA,NA,NA,NA
"44","CUAJIMALPA DE MORELOS","TEXCALCO","04-027",NA,NA,NA,NA,NA,NA,NA
"45","CUAJIMALPA DE MORELOS","LOMA DEL PADRE","04-030",9,8,7,7,7,13,6
"46","CUAJIMALPA DE MORELOS","NAVIDAD (GRANJAS DE NAVIDAD)","04-036",24,24,22,23,22,42,17
"47","CUAJIMALPA DE MORELOS","PALO ALTO (GRANJAS)","04-038",12,10,9,9,9,16,7
"48","CUAJIMALPA DE MORELOS","SAN LORENZO ACOPILCO (PBLO)","04-045",NA,6,6,6,7,12,7
"49","CUAJIMALPA DE MORELOS","SAN MATEO TLALTENANGO (PBLO)","04-046",34,23,23,22,20,42,28
"50","CUAJIMALPA DE MORELOS","ZENTLAPATL","04-052",NA,NA,NA,NA,NA,6,6
"51","CUAJIMALPA DE MORELOS","SAN PEDRO CUAJIMALPA (PBLO)","04-056",39,37,25,25,24,24,19
"52","CUAJIMALPA DE MORELOS","SAN JOSE DE LOS CEDROS I","04-058",14,13,13,13,11,23,16
"53","CUAJIMALPA DE MORELOS","SAN JOSE DE LOS CEDROS II","04-059",NA,NA,NA,NA,NA,NA,NA
"54","GUSTAVO A. MADERO","CONSTITUCION DE LA REPUBLICA","05-029",8,NA,NA,NA,NA,16,7
"55","GUSTAVO A. MADERO","CUCHILLA DEL TESORO","05-035",30,30,27,25,20,35,25
"56","GUSTAVO A. MADERO","DEL BOSQUE","05-038",NA,NA,NA,NA,NA,NA,NA
"57","GUSTAVO A. MADERO","EJIDOS SAN JUAN DE ARAGON 1A SECCION (U HAB)","05-043",NA,NA,NA,NA,NA,NA,NA
"58","GUSTAVO A. MADERO","EL ARBOLILLO 1 (U HAB)","05-046",NA,NA,NA,NA,NA,NA,NA
"59","GUSTAVO A. MADERO","GABRIEL HERNANDEZ","05-063",9,9,8,6,NA,12,6
"60","GUSTAVO A. MADERO","LA JOYA","05-102",8,8,9,10,11,27,14
"61","GUSTAVO A. MADERO","LA PURISIMA TICOMAN (BARR)","05-111",NA,6,6,NA,NA,8,NA
"62","GUSTAVO A. MADERO","LINDAVISTA VALLEJO (U HAB)","05-113",NA,NA,NA,NA,NA,13,7
"63","GUSTAVO A. MADERO","LOMA DE LA PALMA","05-114",43,38,41,41,17,36,20
"64","GUSTAVO A. MADERO","MARTIRES DE RIO BLANCO","05-124",6,NA,NA,NA,NA,13,8
"65","GUSTAVO A. MADERO","NUEVA TENOCHTITLAN","05-130",15,13,13,12,11,31,20
"66","GUSTAVO A. MADERO","NUEVA VALLEJO","05-131",10,11,9,9,9,15,8
"67","GUSTAVO A. MADERO","PALMATITLA","05-132",NA,NA,NA,NA,NA,9,NA
"68","GUSTAVO A. MADERO","SALVADOR DIAZ MIRON","05-149",13,14,14,12,10,10,NA
"69","GUSTAVO A. MADERO","SAN BARTOLO ATEPEHUACAN (PBLO)","05-151",NA,NA,NA,NA,NA,8,NA
"70","GUSTAVO A. MADERO","SAN JUAN DE ARAGON (PBLO)","05-156",12,11,12,8,8,11,8
"71","GUSTAVO A. MADERO","SAN JUAN DE ARAGON 3A SECCION (U HAB) I","05-159",NA,NA,NA,NA,NA,10,NA
"72","GUSTAVO A. MADERO","SANTA ISABEL TOLA (PBLO)","05-170",18,14,18,16,12,26,14
"73","GUSTAVO A. MADERO","TEPEYAC INSURGENTES","05-181",10,7,NA,6,6,12,6
"74","GUSTAVO A. MADERO","TORRES DE QUIROGA (U HAB)","05-185",NA,NA,NA,NA,NA,NA,NA
"75","GUSTAVO A. MADERO","25 DE JULIO","05-208",NA,NA,NA,NA,NA,13,8
"76","GUSTAVO A. MADERO","CASAS ALEMAN (AMPL) I","05-217",8,NA,6,6,NA,11,7
"77","GUSTAVO A. MADERO","GABRIEL HERNANDEZ (AMPL) II","05-222",NA,NA,NA,NA,NA,10,NA
"78","GUSTAVO A. MADERO","INDUSTRIAL I","05-223",7,8,8,NA,NA,8,NA
"79","GUSTAVO A. MADERO","NUEVA ATZACOALCO II","05-230",17,17,15,9,6,20,15
"80","GUSTAVO A. MADERO","NUEVA ATZACOALCO III","05-231",15,16,15,10,6,14,6
"81","GUSTAVO A. MADERO","SAN FELIPE DE JESUS I","05-237",NA,NA,NA,NA,NA,NA,NA
"82","GUSTAVO A. MADERO","SAN FELIPE DE JESUS II","05-238",13,12,12,12,11,22,11
"83","GUSTAVO A. MADERO","SAN FELIPE DE JESUS III","05-239",14,13,12,14,14,26,12
"84","GUSTAVO A. MADERO","SAN FELIPE DE JESUS IV","05-240",9,6,NA,12,10,21,13
"85","GUSTAVO A. MADERO","SAN JUAN DE ARAGON 1A SECCION (U HAB) I","05-241",6,NA,7,8,8,14,11
"86","GUSTAVO A. MADERO","SAN JUAN DE ARAGON 1A SECCION (U HAB) II","05-242",NA,NA,6,6,7,22,12
"87","GUSTAVO A. MADERO","SAN JUAN DE ARAGON 4A  Y 5A SECCION (U HAB) II","05-246",8,8,10,8,8,19,10
"88","GUSTAVO A. MADERO","SAN JUAN DE ARAGON 7 SECC (U HAB) II","05-248",7,7,7,7,7,14,7
"89","GUSTAVO A. MADERO","VALLEJO II","05-250",6,6,7,7,6,NA,NA
"90","GUSTAVO A. MADERO","ZONA ESCOLAR I","05-251",NA,NA,NA,NA,NA,7,NA
"91","GUSTAVO A. MADERO","ZONA ESCOLAR II","05-252",6,NA,NA,NA,NA,7,NA
"92","IZTACALCO","SANTA ANITA","06-032",9,12,11,11,15,20,9
"93","IZTACALCO","TLACOTAL RAMOS MILLAN","06-036",13,13,13,10,11,17,10
"94","IZTACALCO","VIADUCTO PIEDAD","06-038",NA,NA,NA,NA,6,11,6
"95","IZTACALCO","AGRICOLA ORIENTAL II","06-041",NA,NA,NA,NA,6,11,NA
"96","IZTACALCO","AGRICOLA ORIENTAL V","06-044",NA,NA,NA,6,6,8,NA
"97","IZTACALCO","CAMPAMENTO 2 DE OCTUBRE I","06-048",9,9,8,7,7,11,6
"98","IZTACALCO","CAMPAMENTO 2 DE OCTUBRE II","06-049",15,16,14,11,9,12,NA
"99","IZTACALCO","GRANJAS MEXICO I","06-050",9,11,10,10,14,20,10
"100","IZTACALCO","GRANJAS MEXICO II","06-051",23,23,21,18,17,26,9
"101","IZTACALCO","JUVENTINO ROSAS I","06-054",6,6,6,7,7,6,NA
"102","IZTACALCO","PANTITLAN II","06-057",12,12,12,14,12,22,8
"103","IZTACALCO","PANTITLAN III","06-058",10,10,9,7,9,14,6
"104","IZTACALCO","PANTITLAN IV","06-059",15,18,16,15,23,31,14
"105","IZTACALCO","PANTITLAN V","06-060",21,24,21,21,22,40,17
"106","IZTACALCO","RAMOS MILLAN BRAMADERO I","06-061",17,20,19,16,19,35,18
"107","IZTAPALAPA","CITLALLI","07-030",NA,NA,NA,NA,NA,8,NA
"108","IZTAPALAPA","EL MANTO","07-051",NA,6,NA,NA,6,18,8
"109","IZTAPALAPA","EL MIRADOR","07-053",NA,NA,NA,NA,NA,NA,NA
"110","IZTAPALAPA","EL SANTUARIO","07-060",6,8,6,NA,6,10,NA
"111","IZTAPALAPA","EL VERGEL","07-066",6,NA,6,6,NA,NA,NA
"112","IZTAPALAPA","ESCUADRON 201","07-071",13,11,12,11,10,18,10
"113","IZTAPALAPA","FUEGO NUEVO","07-077",10,7,7,NA,NA,12,NA
"114","IZTAPALAPA","GUADALUPE DEL MORAL","07-088",9,7,6,NA,NA,12,6
"115","IZTAPALAPA","JACARANDAS","07-097",7,6,NA,NA,6,13,6
"116","IZTAPALAPA","LA PLANTA","07-113",NA,NA,NA,NA,NA,11,NA
"117","IZTAPALAPA","LAS PEAS I","07-118",7,8,7,6,9,9,NA
