"","alcaldia","colonia","clave_colonia","total_210201","total_210202","total_210203","total_210204","total_210205","total_210206","total_210207"
"1","AZCAPOTZALCO","ARENAL","02-006",7,7,11,8,6,NA,NA
"2","AZCAPOTZALCO","CUITLHUAC 3 Y 4 (U HAB)","02-014",NA,NA,NA,NA,NA,NA,6
"3","AZCAPOTZALCO","DEL GAS","02-015",12,9,15,16,12,10,10
"4","AZCAPOTZALCO","DEL RECREO","02-018",34,30,29,29,29,26,23
"5","AZCAPOTZALCO","EL ROSARIO C (U HAB)","02-025",49,46,44,45,39,40,37
"6","AZCAPOTZALCO","NUEVO SAN RAFAEL (BARR)","02-053",6,NA,NA,NA,NA,NA,NA
"7","AZCAPOTZALCO","SAN  MIGUEL AMANTLA (PBLO)","02-069",11,10,15,16,14,14,12
"8","AZCAPOTZALCO","SAN JUAN TLIHUACA (PBLO)","02-079",24,22,25,24,25,25,24
"9","AZCAPOTZALCO","SAN MARCOS (BARR)","02-080",12,12,14,12,12,13,14
"10","AZCAPOTZALCO","SAN PEDRO XALPA (PBLO)","02-085",21,22,23,20,19,22,17
"11","AZCAPOTZALCO","SANTIAGO AHUIZOTLA (PBLO)","02-097",35,31,31,33,33,35,32
"12","AZCAPOTZALCO","SANTO TOMAS","02-099",NA,NA,NA,NA,NA,NA,NA
"13","AZCAPOTZALCO","TEZOZOMOC","02-102",32,26,23,26,27,26,24
"14","AZCAPOTZALCO","TLATILCO","02-104",6,6,12,12,10,8,6
"15","AZCAPOTZALCO","SAN PEDRO XALPA (AMPL) I","02-111",40,35,41,38,33,37,35
"16","AZCAPOTZALCO","SAN PEDRO XALPA (AMPL) II","02-112",34,33,34,36,35,34,31
"17","COYOACAN","CTM V CULHUACAN (U HAB)","03-029",25,26,25,23,24,23,23
"18","COYOACAN","CTM VI CULHUACAN (U HAB)","03-030",25,24,24,24,21,21,21
"19","COYOACAN","CTM VII CULHUACAN (U HAB)","03-031",16,18,18,18,19,21,19
"20","COYOACAN","DE LA CANDELARIA (PBLO)","03-036",21,20,21,22,21,28,28
"21","COYOACAN","DEL CARMEN","03-037",13,13,15,17,17,17,13
"22","COYOACAN","EDUCACION","03-039",18,18,16,17,14,19,20
"23","COYOACAN","LOS REYES (PBLO)","03-078",47,45,43,45,39,39,39
"24","COYOACAN","PRADO CHURUBUSCO","03-094",17,14,14,16,14,15,15
"25","COYOACAN","SAN FRANCISCO CULHUACAN (PBLO)","03-101",37,36,44,48,50,49,49
"26","COYOACAN","SANTA URSULA COAPA (PBLO)","03-109",51,49,49,50,42,36,35
"27","COYOACAN","VIEJO EJIDO SANTA URSULA COAPA","03-113",27,27,28,27,27,28,25
"28","COYOACAN","VILLA COYOACAN","03-114",10,10,10,9,8,6,8
"29","COYOACAN","AJUSCO I","03-128",47,35,33,29,21,24,24
"30","COYOACAN","AJUSCO II","03-129",53,48,51,47,44,47,43
"31","COYOACAN","PEDREGAL DE SANTA URSULA I","03-135",49,48,57,58,53,56,57
"32","COYOACAN","PEDREGAL DE SANTA URSULA II","03-136",57,56,52,51,52,49,48
"33","COYOACAN","PEDREGAL DE SANTA URSULA III","03-137",45,45,46,50,51,51,51
"34","COYOACAN","PEDREGAL DE STO DOMINGO I","03-139",24,21,18,16,16,20,19
"35","COYOACAN","PEDREGAL DE STO DOMINGO II","03-140",47,43,40,39,35,34,29
"36","COYOACAN","PEDREGAL DE STO DOMINGO IV","03-142",55,54,51,60,61,64,65
