alcaldia,colonia,clave_colonia,total_200629,total_200630,total_200701,total_200702,total_200703,total_200704,total_200705,total_200706,total_200707,total_200708,total_200709,total_200710,total_200711,total_200712,total_200713
GUSTAVO A. MADERO,BENITO JUAREZ,05-011,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUSTAVO A. MADERO,CONSTITUCION DE LA REPUBLICA,05-029,8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUSTAVO A. MADERO,CTM ATZACOALCO (U HAB),05-031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,NA,NA
GUSTAVO A. MADERO,CTM EL RISCO (U HAB),05-032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,NA
GUSTAVO A. MADERO,CUCHILLA DEL TESORO,05-035,12,11,11,11,11,12,13,13,13,14,14,14,14,14,12
GUSTAVO A. MADERO,ESTANZUELA,05-054,NA,NA,NA,NA,NA,6,6,6,8,7,7,NA,NA,NA,NA
GUSTAVO A. MADERO,GERTRUDIS SANCHEZ 2A SECCION,05-067,7,NA,NA,NA,6,8,8,6,7,11,9,9,7,NA,NA
GUSTAVO A. MADERO,LA JOYA,05-102,NA,NA,NA,NA,7,7,NA,NA,NA,NA,8,9,11,11,10
GUSTAVO A. MADERO,MARTIRES DE RIO BLANCO,05-124,8,8,8,10,8,7,6,NA,NA,NA,NA,NA,NA,NA,NA
GUSTAVO A. MADERO,NUEVA INDUSTRIAL VALLEJO (FRACC),05-129,NA,NA,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUSTAVO A. MADERO,SALVADOR DIAZ MIRON,05-149,NA,NA,NA,NA,NA,7,7,6,NA,NA,NA,NA,NA,NA,NA
GUSTAVO A. MADERO,SAN JUAN DE ARAGON (PBLO),05-156,8,12,9,7,9,14,11,8,10,11,10,11,10,10,8
GUSTAVO A. MADERO,SANTA ISABEL TOLA (PBLO),05-170,NA,NA,NA,NA,8,9,9,8,9,9,10,10,9,8,6
GUSTAVO A. MADERO,TLALPEXCO,05-184,NA,NA,NA,NA,NA,NA,6,6,6,6,6,7,7,NA,NA
GUSTAVO A. MADERO,INDUSTRIAL II,05-224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,6,6
GUSTAVO A. MADERO,LINDAVISTA I,05-225,NA,NA,NA,NA,NA,6,7,6,7,7,7,8,6,NA,NA
