alcaldia,colonia,clave_colonia,total_200801
GUSTAVO A. MADERO,CUCHILLA DEL TESORO,05-035,11
GUSTAVO A. MADERO,LA FORESTAL,05-098,6
GUSTAVO A. MADERO,LA JOYA,05-102,10
GUSTAVO A. MADERO,SAN JUAN DE ARAGON (PBLO),05-156,11
GUSTAVO A. MADERO,SAN JUAN Y GUADALUPE TICOMAN (BARR),05-164,7
GUSTAVO A. MADERO,TLALPEXCO,05-184,11
GUSTAVO A. MADERO,NUEVA ATZACOALCO I,05-229,24
GUSTAVO A. MADERO,NUEVA ATZACOALCO III,05-231,10
GUSTAVO A. MADERO,SAN JUAN DE ARAGON 1A SECCION (U HAB) I,05-241,7
GUSTAVO A. MADERO,SAN JUAN DE ARAGON 4A  Y 5A SECCION (U HAB) II,05-246,6
MILPA ALTA,SAN PEDRO ATOCPAN (PBLO),09-009,8
TLALPAN,"MESA LOS HORNOS, TEXCALTENCO",12-094,8
TLALPAN,MIGUEL HIDALGO,12-095,13
TLALPAN,POPULAR STA TERESA,12-127,7
TLALPAN,SAN MIGUEL TOPILEJO (PBLO),12-157,28
TLALPAN,SAN PEDRO MARTIR (PBLO),12-160,19
TLALPAN,SANTO TOMAS AJUSCO (PBLO),12-163,14
TLALPAN,TLALCOLIGIA,12-175,10
TLALPAN,XAXALCO,12-200,7
TLALPAN,HEROES DE PADIERNA I,12-209,16
TLALPAN,LOMAS DE  PADIERNA I,12-211,14
XOCHIMILCO,CRISTO REY,13-009,6
XOCHIMILCO,SAN ANDRES AHUAYUCAN (PBLO),13-035,7
XOCHIMILCO,SAN GREGORIO ATLAPULCO (PBLO),13-043,32
XOCHIMILCO,SAN LUIS TLAXIALTEMALCO (PBLO),13-053,7
IZTACALCO,LOS REYES,06-018,7
IZTACALCO,AGRICOLA ORIENTAL VI,06-045,7
IZTACALCO,GRANJAS MEXICO I,06-050,7
IZTACALCO,GRANJAS MEXICO II,06-051,8
IZTACALCO,PANTITLAN I,06-056,6
TLAHUAC,DEL MAR SUR,11-004,10
TLAHUAC,LA HABANA,11-016,9
TLAHUAC,LAS ARBOLEDAS,11-021,8
TLAHUAC,SAN ANDRES MIXQUIC (PBLO),11-031,6
TLAHUAC,SAN JUAN IXTAYOPAN (PBLO),11-034,6
TLAHUAC,SAN MIGUEL ZAPOTITLA,11-036,6
TLAHUAC,SAN PEDRO TLAHUAC (PBLO),11-038,13
TLAHUAC,SANTA CATARINA YECAHUIZOTL (PBLO),11-040,10
TLAHUAC,SANTA CECILIA,11-041,7
TLAHUAC,SELENE (AMPL),11-043,14
TLAHUAC,SELENE 1a SECC,11-044,7
TLAHUAC,SELENE 2da SECC,11-045,12
TLAHUAC,UNIDADES HABITACIONALES DE SANTA ANA PONIENTE II,11-058,17
AZCAPOTZALCO,EL ROSARIO C (U HAB),02-025,20
AZCAPOTZALCO,NUEVA SANTA MARIA,02-052,7
AZCAPOTZALCO,SAN JUAN TLIHUACA (PBLO),02-079,32
AZCAPOTZALCO,SANTIAGO AHUIZOTLA (PBLO),02-097,8
AZCAPOTZALCO,SAN PEDRO XALPA (AMPL) I,02-111,7
AZCAPOTZALCO,SAN PEDRO XALPA (AMPL) II,02-112,10
AZCAPOTZALCO,PRO HOGAR I,02-113,6
ALVARO OBREGON,JALALPA EL GRANDE,10-089,8
ALVARO OBREGON,LOMAS DE LA ERA,10-132,18
ALVARO OBREGON,PILOTO (ADOLFO LOPEZ MATEOS) (AMPL),10-172,6
ALVARO OBREGON,SANTA ROSA XOCHIAC (PBLO),10-204,22
ALVARO OBREGON,TORRES DE POTRERO,10-228,9
ALVARO OBREGON,OLIVAR DEL CONDE 1RA SECCION II,10-253,9
CUAUHTEMOC,EX HIPODROMO DE PERALVILLO,15-012,8
CUAUHTEMOC,CENTRO IV,15-040,7
CUAUHTEMOC,CENTRO VI,15-042,6
CUAUHTEMOC,DOCTORES V,15-049,10
CUAUHTEMOC,GUERRERO I,15-050,9
CUAUHTEMOC,HIPODROMO II,15-055,6
CUAUHTEMOC,ROMA SUR II,15-072,8
CUAUHTEMOC,SAN RAFAEL II,15-074,21
IZTAPALAPA,CITLALLI,07-030,7
IZTAPALAPA,EJTO DE OTE II (U HAB),07-049,7
IZTAPALAPA,PASEOS DE CHURUBUSCO,07-157,8
IZTAPALAPA,PROGRESISTA,07-164,6
IZTAPALAPA,SAN MIGUEL (BARR),07-196,6
IZTAPALAPA,JOSE LOPEZ PORTILLO II,07-276,6
IZTAPALAPA,LOMAS DE SAN LORENZO II,07-284,10
IZTAPALAPA,SAN MIGUEL TEOTONGO II,07-292,12
IZTAPALAPA,SAN MIGUEL TEOTONGO III,07-293,10
IZTAPALAPA,TEPALCATES I,07-301,6
IZTAPALAPA,XALPA III,07-307,6
CUAJIMALPA DE MORELOS,EBANO (U HAB),04-014,15
LA MAGDALENA CONTRERAS,EL TANQUE,08-011,31
LA MAGDALENA CONTRERAS,LA CARBONERA,08-020,6
LA MAGDALENA CONTRERAS,LA CRUZ,08-022,10
LA MAGDALENA CONTRERAS,LAS PALMAS,08-029,7
LA MAGDALENA CONTRERAS,PUEBLO NUEVO ALTO,08-038,10
LA MAGDALENA CONTRERAS,PUENTE SIERRA,08-040,6
LA MAGDALENA CONTRERAS,SAN BARTOLO AMEYALCO,08-041,21
LA MAGDALENA CONTRERAS,SAN NICOLAS TOTOLAPAN (PBLO),08-048,14
LA MAGDALENA CONTRERAS,VISTA HERMOSA,08-053,6
BENITO JUAREZ,INDEPENDENCIA,14-016,7
MIGUEL HIDALGO,PENSIL NORTE,16-060,16
MIGUEL HIDALGO,POPOTLA II,16-093,7
COYOACAN,AMPLIACION CANDELARIA,03-006,6
COYOACAN,CTM VI CULHUACAN (U HAB),03-030,7
COYOACAN,CTM VIII CULHUACAN (U HAB),03-033,6
COYOACAN,SANTA URSULA COAPA (PBLO),03-109,7
COYOACAN,AJUSCO III,03-130,20
COYOACAN,PEDREGAL DE SANTA URSULA I,03-135,13
COYOACAN,PEDREGAL DE STO DOMINGO I,03-139,19
COYOACAN,PEDREGAL DE STO DOMINGO II,03-140,11
COYOACAN,PEDREGAL DE STO DOMINGO III,03-141,13
COYOACAN,PEDREGAL DE STO DOMINGO V,03-143,17
COYOACAN,PEDREGAL DE STO DOMINGO VII,03-145,10
VENUSTIANO CARRANZA,ARTES GRAFICAS,17-006,7
VENUSTIANO CARRANZA,EL PARQUE,17-023,6
GUSTAVO A. MADERO,LA CASILDA,05-094,6
GUSTAVO A. MADERO,NARCISO BASSOLS (U HAB),05-127,8
GUSTAVO A. MADERO,SAN PEDRO ZACATENCO (PBLO),05-168,6
GUSTAVO A. MADERO,CASAS ALEMAN (AMPL) I,05-217,10
GUSTAVO A. MADERO,CHALMA DE GUADALUPE I,05-219,7
GUSTAVO A. MADERO,LINDAVISTA II,05-226,6
GUSTAVO A. MADERO,SAN FELIPE DE JESUS IV,05-240,16
GUSTAVO A. MADERO,SAN JUAN DE ARAGON 3A SECCION (U HAB) II,05-255,7
MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),09-002,37
MILPA ALTA,SAN SALVADOR CUAUHTENCO (PBLO),09-010,38
MILPA ALTA,VILLA MILPA ALTA (PBLO),09-012,20
TLALPAN,AMPLIACION MIGUEL HIDALGO 2A SECC,12-002,15
TLALPAN,EJIDOS DE SAN PEDRO MARTIR I (NORTE),12-035,9
TLALPAN,ISIDRO  FABELA (AMPL),12-061,6
TLALPAN,LA MAGDALENA PETLACALCO (PBLO),12-074,15
TLALPAN,PEDREGAL DE SN NICOLAS 1A SECC,12-117,10
TLALPAN,PEDREGAL DE SN NICOLAS 3A SECC,12-119,13
TLALPAN,SAN ANDRES TOTOLTEPEC (PBLO),12-147,22
TLALPAN,SAN MIGUEL AJUSCO (PBLO),12-155,7
XOCHIMILCO,SAN LORENZO ATEMOAYA (PBLO),13-050,6
XOCHIMILCO,SAN MATEO XALPA (PBLO),13-056,10
XOCHIMILCO,SANTA CRUZ ACALPIXCA (PBLO),13-060,30
XOCHIMILCO,SANTA CRUZ XOCHITEPEC (PBLO),13-062,9
XOCHIMILCO,SANTA MARIA TEPEPAN (PBLO),13-065,7
XOCHIMILCO,XALTOCAN (BARR),13-073,13
IZTACALCO,AMPLIACION RAMOS MILLAN,06-002,6
IZTACALCO,TLACOTAL RAMOS MILLAN,06-036,6
IZTACALCO,PANTITLAN V,06-060,14
IZTACALCO,RAMOS MILLAN BRAMADERO I,06-061,7
IZTACALCO,RAMOS MILLAN BRAMADERO II,06-062,6
TLAHUAC,AGRICOLA METROPOLITANA,11-001,7
TLAHUAC,LA DRAGA,11-014,13
TLAHUAC,MIGUEL HIDALGO,11-025,12
TLAHUAC,OJO DE AGUA,11-027,9
TLAHUAC,SAN FRANCISCO TLALTENCO (PBLO),11-032,40
TLAHUAC,SAN JOSE,11-033,10
TLAHUAC,LA CONCHITA II,11-057,25
AZCAPOTZALCO,ARENAL,02-006,7
AZCAPOTZALCO,DEL GAS,02-015,7
AZCAPOTZALCO,FRANCISCO VILLA (U HAB),02-030,11
AZCAPOTZALCO,SAN  MIGUEL AMANTLA (PBLO),02-069,15
AZCAPOTZALCO,SAN MARTIN XOCHINAHUAC (PBLO),02-081,13
AZCAPOTZALCO,TEZOZOMOC,02-102,18
ALVARO OBREGON,BARRIO NORTE,10-026,17
ALVARO OBREGON,BELLA VISTA,10-031,7
ALVARO OBREGON,COLINAS DEL SUR,10-044,6
ALVARO OBREGON,LOMAS DE CHAMONTOYA,10-130,7
ALVARO OBREGON,MERCED GOMEZ,10-151,9
ALVARO OBREGON,PILOTO (ADOLFO LOPEZ MATEOS),10-171,6
ALVARO OBREGON,PRESIDENTES 2DA (AMPL),10-179,7
ALVARO OBREGON,SAN BARTOLO AMEYALCO (PBLO),10-194,43
ALVARO OBREGON,OLIVAR DEL CONDE 1RA SECCION I,10-252,13
CUAUHTEMOC,ATLAMPA,15-004,6
CUAUHTEMOC,PAULINO NAVARRO,15-022,7
CUAUHTEMOC,CENTRO I,15-037,26
CUAUHTEMOC,DOCTORES I,15-045,18
CUAUHTEMOC,DOCTORES II,15-046,6
CUAUHTEMOC,DOCTORES III,15-047,8
CUAUHTEMOC,GUERRERO III,15-052,7
CUAUHTEMOC,GUERRERO IV,15-053,7
CUAUHTEMOC,MORELOS I,15-056,12
CUAUHTEMOC,OBRERA II,15-063,6
CUAUHTEMOC,ROMA NORTE I,15-068,7
CUAUHTEMOC,SANTA MARIA LA RIBERA II,15-076,11
IZTAPALAPA,ALVARO OBREGON_(FRACC),07-006,7
IZTAPALAPA,GUADALUPE DEL MORAL,07-088,6
IZTAPALAPA,SAN ANTONIO (BARR),07-177,9
IZTAPALAPA,SANTA MARTHA ACATITLA,07-215,7
IZTAPALAPA,VICENTE GUERRERO SUPER MANZANA 6 (U HAB),07-247,10
IZTAPALAPA,CHINAMPAC DE JUAREZ II,07-263,7
IZTAPALAPA,CONSEJO AGRARISTA MEXICANO I,07-264,9
IZTAPALAPA,DESARROLLO URBANO QUETZALCOATL  II,07-269,7
IZTAPALAPA,SAN MIGUEL TEOTONGO I,07-291,8
IZTAPALAPA,SANTA CRUZ MEYEHUALCO (U HAB) II,07-296,6
IZTAPALAPA,VALLE DE SAN LORENZO I,07-303,7
CUAJIMALPA DE MORELOS,EL CONTADERO,04-015,9
CUAJIMALPA DE MORELOS,JESUS DEL MONTE,04-022,8
CUAJIMALPA DE MORELOS,LA PILA,04-023,6
CUAJIMALPA DE MORELOS,PALO ALTO (GRANJAS),04-038,10
CUAJIMALPA DE MORELOS,SAN PABLO CHIMALPA (PBLO),04-047,13
CUAJIMALPA DE MORELOS,SAN PEDRO CUAJIMALPA (PBLO),04-056,16
CUAJIMALPA DE MORELOS,SAN JOSE DE LOS CEDROS I,04-058,8
LA MAGDALENA CONTRERAS,BARRANCA SECA,08-002,12
LA MAGDALENA CONTRERAS,EL OCOTAL,08-009,9
LA MAGDALENA CONTRERAS,LAS CRUCES,08-027,12
LA MAGDALENA CONTRERAS,LOMAS DE SAN BERNABE,08-030,13
LA MAGDALENA CONTRERAS,PUEBLO NUEVO BAJO,08-039,17
LA MAGDALENA CONTRERAS,SAN BERNABE OCOTEPEC (PBLO),08-042,20
BENITO JUAREZ,NARVARTE I,14-060,6
MIGUEL HIDALGO,ARGENTINA ANTIGUA,16-014,6
MIGUEL HIDALGO,LOMAS DE CHAPULTEPEC,16-042,17
MIGUEL HIDALGO,TACUBA,16-077,6
MIGUEL HIDALGO,TLAXPANA,16-080,12
MIGUEL HIDALGO,ANAHUAC I,16-088,11
COYOACAN,DEL CARMEN,03-037,6
COYOACAN,PRADO CHURUBUSCO,03-094,7
COYOACAN,AJUSCO I,03-128,11
COYOACAN,AJUSCO II,03-129,31
COYOACAN,PEDREGAL DE SANTA URSULA II,03-136,12
COYOACAN,PEDREGAL DE SANTA URSULA III,03-137,25
COYOACAN,PEDREGAL DE STO DOMINGO IV,03-142,27
COYOACAN,PEDREGAL DE STO DOMINGO VI,03-144,13
COYOACAN,PEDREGAL DE STO DOMINGO VIII,03-146,14
COYOACAN,PEDREGAL DE STO DOMINGO IX,03-147,11
VENUSTIANO CARRANZA,ADOLFO LOPEZ MATEOS,17-002,11
VENUSTIANO CARRANZA,CUCHILLA PANTITLAN,17-016,7
VENUSTIANO CARRANZA,EL ARENAL 4A SECCION,17-021,15
VENUSTIANO CARRANZA,MOCTEZUMA 1A SECCION,17-042,8
VENUSTIANO CARRANZA,POPULAR RASTRO,17-050,9
VENUSTIANO CARRANZA,REVOLUCION,17-054,6
VENUSTIANO CARRANZA,VENUSTIANO CARRANZA (AMPL),17-063,7
VENUSTIANO CARRANZA,JARDIN BALBUENA III,17-078,6
VENUSTIANO CARRANZA,MOCTEZUMA 2A SECCION I,17-079,13
VENUSTIANO CARRANZA,MORELOS I,17-083,25
GUSTAVO A. MADERO,JORGE NEGRETE,05-086,10
GUSTAVO A. MADERO,LOMAS DE CUAUTEPEC,05-115,6
GUSTAVO A. MADERO,SAN JUAN DE ARAGON 3A SECCION (U HAB) I,05-159,6
GUSTAVO A. MADERO,TEPEYAC INSURGENTES,05-181,11
GUSTAVO A. MADERO,GABRIEL HERNANDEZ (AMPL) II,05-222,6
GUSTAVO A. MADERO,MARTIN CARRERA I,05-227,7
GUSTAVO A. MADERO,MARTIN CARRERA II,05-228,10
GUSTAVO A. MADERO,NUEVA ATZACOALCO II,05-230,12
GUSTAVO A. MADERO,SAN FELIPE DE JESUS III,05-239,8
TLALPAN,AMPLIACION MIGUEL HIDALGO 3A SECC,12-003,11
TLALPAN,BOSQUES DEL PEDREGAL,12-016,12
TLALPAN,FUENTES DEL PEDREGAL,12-049,6
TLALPAN,LOS VOLCANES,12-089,8
TLALPAN,SAN LORENZO HUIPULCO,12-153,9
TLALPAN,SANTA URSULA XITLA,12-161,7
TLALPAN,HEROES DE PADIERNA II,12-210,6
TLALPAN,PEDREGAL DE SN NICOLAS 4A SECC II,12-214,8
TLALPAN,EJIDOS DE SAN PEDRO MARTIR II (SUR),12-219,7
XOCHIMILCO,LA ASUNCION (BARR),13-017,8
XOCHIMILCO,NATIVITAS LA JOYA (AMPL),13-030,8
XOCHIMILCO,OLIVAR SANTA MARIA,13-031,10
XOCHIMILCO,SAN LUCAS XOCHIMANCA (PBLO),13-052,24
XOCHIMILCO,SANTA CECILIA TEPETLAPA (PBLO),13-058,6
XOCHIMILCO,SANTA MARIA NATIVITAS (PBLO),13-064,21
XOCHIMILCO,SANTIAGO TEPALCATLALPAN (PBLO),13-066,29
XOCHIMILCO,SANTIAGO TULYEHUALCO (PBLO),13-067,16
IZTACALCO,GABRIEL RAMOS MILLAN,06-010,6
IZTACALCO,AGRICOLA ORIENTAL VII,06-046,11
IZTACALCO,PANTITLAN II,06-057,8
IZTACALCO,PANTITLAN III,06-058,9
IZTACALCO,PANTITLAN IV,06-059,8
TLAHUAC,JARDINES DEL LLANO-U.H. VILLA TLATEMPA,11-013,7
TLAHUAC,LOS OLIVOS,11-024,6
TLAHUAC,MIGUEL HIDALGO OTE,11-026,17
TLAHUAC,SANTIAGO ZAPOTITLAN (PBLO),11-042,11
AZCAPOTZALCO,LA RAZA,02-041,6
AZCAPOTZALCO,REYNOSA TAMAULIPAS,02-067,6
AZCAPOTZALCO,SAN ANDRES (PBLO),02-072,8
AZCAPOTZALCO,SAN MARCOS (BARR),02-080,6
AZCAPOTZALCO,SAN PEDRO XALPA (PBLO),02-085,6
AZCAPOTZALCO,SANTA BARBARA (PBLO),02-090,10
AZCAPOTZALCO,SANTO DOMINGO (PBLO),02-098,6
AZCAPOTZALCO,TLATILCO,02-104,6
ALVARO OBREGON,ALFALFAR,10-008,10
ALVARO OBREGON,CORPUS CHRISTY,10-047,11
ALVARO OBREGON,HERON PROAL,10-085,10
ALVARO OBREGON,JALALPA,10-088,6
ALVARO OBREGON,JARDINES DEL PEDREGAL,10-091,9
ALVARO OBREGON,LA MARTINICA,10-105,13
ALVARO OBREGON,OLIVAR DE LOS PADRES,10-163,9
ALVARO OBREGON,PRESIDENTES,10-177,8
ALVARO OBREGON,TIZAPAN_TIZAPAN SAN ANGEL,10-217,8
ALVARO OBREGON,TLACOYAQUE (AMPL),10-220,8
CUAUHTEMOC,SAN SIMON TOLNAHUAC,15-027,7
CUAUHTEMOC,SANTA MARIA LA RIBERA IV,15-078,9
IZTAPALAPA,APATLACO,07-009,6
IZTAPALAPA,EJTO CONSTITUCIONALISTA,07-044,7
IZTAPALAPA,EL ROSARIO,07-059,7
IZTAPALAPA,EL SIFON,07-062,6
IZTAPALAPA,FUEGO NUEVO,07-077,7
IZTAPALAPA,JACARANDAS,07-097,6
IZTAPALAPA,MIRASOLES (U HAB),07-142,13
IZTAPALAPA,SAN LORENZO TEZONCO (PBLO),07-191,10
IZTAPALAPA,SANTA MARTHA ACATITLA_(PBLO),07-217,12
IZTAPALAPA,SANTIAGO ACAHUALTEPEC (PBLO),07-219,8
IZTAPALAPA,TENORIOS,07-229,6
IZTAPALAPA,CONSEJO AGRARISTA MEXICANO II,07-265,9
IZTAPALAPA,DESARROLLO URBANO QUETZALCOATL  III,07-270,6
IZTAPALAPA,LEYES DE REFORMA 3A SECCION I,07-279,6
IZTAPALAPA,LOMAS DE SAN LORENZO I,07-283,13
IZTAPALAPA,SAN JUAN XALPA I,07-289,6
IZTAPALAPA,STA MARTHA ACATITLA NTE (AMPL) I,07-299,9
IZTAPALAPA,JUAN ESCUTIA III,07-313,8
CUAJIMALPA DE MORELOS,LOMAS DE MEMETLA,04-031,6
CUAJIMALPA DE MORELOS,LOMAS DE VISTA HERMOSA,04-032,7
CUAJIMALPA DE MORELOS,NAVIDAD (GRANJAS DE NAVIDAD),04-036,40
CUAJIMALPA DE MORELOS,SAN LORENZO ACOPILCO (PBLO),04-045,17
