"","alcaldia","colonia","clave_colonia","total_210118","total_210119","total_210120","total_210121","total_210122","total_210123","total_210124"
"1","AZCAPOTZALCO","ARENAL","02-006",NA,6,10,13,13,13,12
"2","AZCAPOTZALCO","CUITLHUAC 3 Y 4 (U HAB)","02-014",8,8,8,8,8,7,8
"3","AZCAPOTZALCO","DEL GAS","02-015",16,18,17,19,16,14,17
"4","AZCAPOTZALCO","DEL RECREO","02-018",42,43,39,42,42,44,40
"5","AZCAPOTZALCO","EL ROSARIO C (U HAB)","02-025",55,63,60,64,72,75,74
"6","AZCAPOTZALCO","NUEVO SAN RAFAEL (BARR)","02-053",NA,7,9,10,9,7,7
"7","AZCAPOTZALCO","SAN  MIGUEL AMANTLA (PBLO)","02-069",35,35,36,39,37,33,31
"8","AZCAPOTZALCO","SAN JUAN TLIHUACA (PBLO)","02-079",56,58,53,46,49,49,46
"9","AZCAPOTZALCO","SAN MARCOS (BARR)","02-080",15,18,21,28,32,26,22
"10","AZCAPOTZALCO","SAN PEDRO XALPA (PBLO)","02-085",23,25,29,30,30,35,30
"11","AZCAPOTZALCO","SANTIAGO AHUIZOTLA (PBLO)","02-097",37,38,33,31,35,35,34
"12","AZCAPOTZALCO","SANTO TOMAS","02-099",8,8,10,10,11,12,9
"13","AZCAPOTZALCO","TEZOZOMOC","02-102",46,51,55,54,61,66,64
"14","AZCAPOTZALCO","TLATILCO","02-104",15,16,16,18,22,22,20
"15","AZCAPOTZALCO","SAN PEDRO XALPA (AMPL) I","02-111",54,65,71,68,73,79,70
"16","AZCAPOTZALCO","SAN PEDRO XALPA (AMPL) II","02-112",32,33,29,26,27,28,27
"17","COYOACAN","CTM V CULHUACAN (U HAB)","03-029",29,30,36,33,36,39,38
"18","COYOACAN","CTM VI CULHUACAN (U HAB)","03-030",35,37,37,35,36,31,32
"19","COYOACAN","CTM VII CULHUACAN (U HAB)","03-031",28,29,30,26,24,22,22
"20","COYOACAN","DE LA CANDELARIA (PBLO)","03-036",52,54,52,48,41,43,39
"21","COYOACAN","DEL CARMEN","03-037",24,23,19,20,21,24,24
"22","COYOACAN","EDUCACION","03-039",44,47,50,47,44,43,41
"23","COYOACAN","LOS REYES (PBLO)","03-078",68,73,75,71,75,78,72
"24","COYOACAN","PRADO CHURUBUSCO","03-094",13,16,14,18,18,19,18
"25","COYOACAN","SAN FRANCISCO CULHUACAN (PBLO)","03-101",44,47,50,45,45,50,51
"26","COYOACAN","SANTA URSULA COAPA (PBLO)","03-109",27,29,35,37,53,57,55
"27","COYOACAN","VIEJO EJIDO SANTA URSULA COAPA","03-113",54,55,59,60,62,55,54
"28","COYOACAN","VILLA COYOACAN","03-114",22,17,15,18,20,19,15
"29","COYOACAN","AJUSCO I","03-128",69,76,78,88,91,92,87
"30","COYOACAN","AJUSCO II","03-129",77,77,76,76,73,82,78
"31","COYOACAN","PEDREGAL DE SANTA URSULA I","03-135",62,71,73,73,76,79,71
"32","COYOACAN","PEDREGAL DE SANTA URSULA II","03-136",83,90,89,88,96,103,96
"33","COYOACAN","PEDREGAL DE SANTA URSULA III","03-137",80,75,72,77,83,88,80
"34","COYOACAN","PEDREGAL DE STO DOMINGO I","03-139",40,39,35,32,29,28,27
"35","COYOACAN","PEDREGAL DE STO DOMINGO II","03-140",55,50,52,59,65,61,60
"36","COYOACAN","PEDREGAL DE STO DOMINGO IV","03-142",76,82,83,87,90,89,90
"37","COYOACAN","PEDREGAL DE STO DOMINGO V","03-143",46,47,50,53,55,59,57
"38","COYOACAN","PEDREGAL DE STO DOMINGO VI","03-144",74,78,78,80,75,77,72
"39","COYOACAN","PEDREGAL DE STO DOMINGO VII","03-145",42,41,42,48,48,49,44
"40","COYOACAN","PEDREGAL DE STO DOMINGO IX","03-147",25,31,32,32,32,35,36
"41","CUAJIMALPA DE MORELOS","EL CONTADERO","04-015",15,16,12,14,10,12,11
"42","CUAJIMALPA DE MORELOS","LA PILA","04-023",15,15,14,17,17,20,18
"43","CUAJIMALPA DE MORELOS","LAS LAJAS","04-026",9,10,13,11,10,13,13
"44","CUAJIMALPA DE MORELOS","TEXCALCO","04-027",NA,NA,NA,NA,NA,NA,NA
"45","CUAJIMALPA DE MORELOS","LOMA DEL PADRE","04-030",30,31,31,31,29,28,28
"46","CUAJIMALPA DE MORELOS","NAVIDAD (GRANJAS DE NAVIDAD)","04-036",87,87,87,91,98,90,85
"47","CUAJIMALPA DE MORELOS","PALO ALTO (GRANJAS)","04-038",19,21,19,20,20,19,17
"48","CUAJIMALPA DE MORELOS","SAN LORENZO ACOPILCO (PBLO)","04-045",31,33,43,35,34,29,28
"49","CUAJIMALPA DE MORELOS","SAN MATEO TLALTENANGO (PBLO)","04-046",39,40,33,40,41,44,41
"50","CUAJIMALPA DE MORELOS","ZENTLAPATL","04-052",29,29,33,36,43,38,33
"51","CUAJIMALPA DE MORELOS","SAN PEDRO CUAJIMALPA (PBLO)","04-056",57,56,59,70,62,72,59
"52","CUAJIMALPA DE MORELOS","SAN JOSE DE LOS CEDROS I","04-058",42,42,34,38,41,40,37
"53","CUAJIMALPA DE MORELOS","SAN JOSE DE LOS CEDROS II","04-059",48,49,51,47,45,46,40
"54","GUSTAVO A. MADERO","CONSTITUCION DE LA REPUBLICA","05-029",27,31,40,40,41,43,37
"55","GUSTAVO A. MADERO","CUCHILLA DEL TESORO","05-035",72,74,80,85,85,85,76
"56","GUSTAVO A. MADERO","DEL BOSQUE","05-038",18,16,17,22,26,27,25
"57","GUSTAVO A. MADERO","EJIDOS SAN JUAN DE ARAGON 1A SECCION (U HAB)","05-043",11,14,16,17,19,22,21
"58","GUSTAVO A. MADERO","EL ARBOLILLO 1 (U HAB)","05-046",13,11,14,19,21,24,23
"59","GUSTAVO A. MADERO","GABRIEL HERNANDEZ","05-063",57,61,63,64,63,63,56
"60","GUSTAVO A. MADERO","LA JOYA","05-102",45,56,61,69,72,77,78
