"","alcaldia","colonia","clave_colonia","total_201226","total_201227","total_201228","total_201229","total_201230","total_201231","total_210101"
"1","AZCAPOTZALCO","ARENAL","02-006",14,14,10,10,8,10,7
"2","AZCAPOTZALCO","CUITLHUAC 3 Y 4 (U HAB)","02-014",14,13,11,8,8,7,6
"3","AZCAPOTZALCO","DEL GAS","02-015",7,7,9,10,8,7,7
"4","AZCAPOTZALCO","DEL RECREO","02-018",20,17,16,25,22,24,27
"5","AZCAPOTZALCO","EL ROSARIO C (U HAB)","02-025",49,53,52,52,49,50,53
"6","AZCAPOTZALCO","NUEVO SAN RAFAEL (BARR)","02-053",NA,NA,NA,6,6,7,6
"7","AZCAPOTZALCO","SAN  MIGUEL AMANTLA (PBLO)","02-069",36,30,31,36,35,38,37
"8","AZCAPOTZALCO","SAN JUAN TLIHUACA (PBLO)","02-079",60,53,53,56,50,44,37
"9","AZCAPOTZALCO","SAN MARCOS (BARR)","02-080",17,14,13,14,12,11,12
"10","AZCAPOTZALCO","SAN PEDRO XALPA (PBLO)","02-085",31,30,28,28,30,31,29
"11","AZCAPOTZALCO","SANTIAGO AHUIZOTLA (PBLO)","02-097",41,38,34,39,35,35,33
"12","AZCAPOTZALCO","SANTO TOMAS","02-099",10,9,8,8,8,7,6
"13","AZCAPOTZALCO","TEZOZOMOC","02-102",23,21,22,28,40,41,47
"14","AZCAPOTZALCO","TLATILCO","02-104",17,19,14,15,15,16,16
"15","AZCAPOTZALCO","SAN PEDRO XALPA (AMPL) I","02-111",42,34,34,32,43,41,42
"16","AZCAPOTZALCO","SAN PEDRO XALPA (AMPL) II","02-112",17,15,15,17,15,15,17
"17","COYOACAN","CTM V CULHUACAN (U HAB)","03-029",26,22,17,19,17,19,16
"18","COYOACAN","CTM VI CULHUACAN (U HAB)","03-030",36,36,35,32,36,37,40
"19","COYOACAN","CTM VII CULHUACAN (U HAB)","03-031",14,14,14,16,17,21,24
"20","COYOACAN","DE LA CANDELARIA (PBLO)","03-036",33,36,33,34,30,32,37
"21","COYOACAN","DEL CARMEN","03-037",16,17,15,15,16,15,18
"22","COYOACAN","EDUCACION","03-039",26,27,27,26,25,29,28
"23","COYOACAN","LOS REYES (PBLO)","03-078",55,56,51,52,49,45,45
"24","COYOACAN","PRADO CHURUBUSCO","03-094",17,18,16,15,16,16,15
"25","COYOACAN","SAN FRANCISCO CULHUACAN (PBLO)","03-101",45,43,43,40,35,34,36
"26","COYOACAN","SANTA URSULA COAPA (PBLO)","03-109",50,49,44,42,39,38,40
"27","COYOACAN","VIEJO EJIDO SANTA URSULA COAPA","03-113",37,39,35,36,34,33,33
"28","COYOACAN","VILLA COYOACAN","03-114",11,11,11,15,18,18,19
"29","COYOACAN","AJUSCO I","03-128",51,49,46,46,50,53,51
"30","COYOACAN","AJUSCO II","03-129",102,90,84,96,91,96,95
"31","COYOACAN","PEDREGAL DE SANTA URSULA I","03-135",76,71,62,60,58,57,67
"32","COYOACAN","PEDREGAL DE SANTA URSULA II","03-136",53,50,48,49,54,53,58
"33","COYOACAN","PEDREGAL DE SANTA URSULA III","03-137",73,71,63,66,64,63,63
"34","COYOACAN","PEDREGAL DE STO DOMINGO I","03-139",28,25,24,18,19,17,18
"35","COYOACAN","PEDREGAL DE STO DOMINGO II","03-140",58,60,56,57,56,49,47
"36","COYOACAN","PEDREGAL DE STO DOMINGO IV","03-142",89,84,79,76,80,81,79
"37","COYOACAN","PEDREGAL DE STO DOMINGO V","03-143",35,33,26,26,24,28,25
"38","COYOACAN","PEDREGAL DE STO DOMINGO VI","03-144",62,63,58,64,68,65,61
"39","COYOACAN","PEDREGAL DE STO DOMINGO VII","03-145",52,47,39,39,35,36,37
"40","COYOACAN","PEDREGAL DE STO DOMINGO IX","03-147",28,28,21,20,17,16,18
"41","CUAJIMALPA DE MORELOS","EL CONTADERO","04-015",8,6,6,9,11,11,12
"42","CUAJIMALPA DE MORELOS","LA PILA","04-023",NA,NA,NA,NA,NA,NA,NA
"43","CUAJIMALPA DE MORELOS","LAS LAJAS","04-026",NA,NA,NA,NA,NA,NA,NA
"44","CUAJIMALPA DE MORELOS","TEXCALCO","04-027",NA,NA,NA,NA,NA,NA,NA
"45","CUAJIMALPA DE MORELOS","LOMA DEL PADRE","04-030",10,10,8,9,9,9,9
"46","CUAJIMALPA DE MORELOS","NAVIDAD (GRANJAS DE NAVIDAD)","04-036",104,94,93,104,93,87,79
"47","CUAJIMALPA DE MORELOS","PALO ALTO (GRANJAS)","04-038",NA,NA,NA,NA,NA,NA,NA
"48","CUAJIMALPA DE MORELOS","SAN LORENZO ACOPILCO (PBLO)","04-045",14,11,12,17,14,14,13
"49","CUAJIMALPA DE MORELOS","SAN MATEO TLALTENANGO (PBLO)","04-046",35,31,32,32,29,27,31
"50","CUAJIMALPA DE MORELOS","ZENTLAPATL","04-052",16,15,16,16,15,14,18
"51","CUAJIMALPA DE MORELOS","SAN PEDRO CUAJIMALPA (PBLO)","04-056",38,35,36,38,33,36,37
"52","CUAJIMALPA DE MORELOS","SAN JOSE DE LOS CEDROS I","04-058",39,40,39,41,36,34,36
"53","CUAJIMALPA DE MORELOS","SAN JOSE DE LOS CEDROS II","04-059",33,30,29,33,34,29,30
"54","GUSTAVO A. MADERO","CONSTITUCION DE LA REPUBLICA","05-029",38,37,31,32,31,30,26
"55","GUSTAVO A. MADERO","CUCHILLA DEL TESORO","05-035",57,54,53,61,68,71,65
"56","GUSTAVO A. MADERO","DEL BOSQUE","05-038",20,20,19,19,21,20,11
"57","GUSTAVO A. MADERO","EJIDOS SAN JUAN DE ARAGON 1A SECCION (U HAB)","05-043",13,13,13,13,14,16,16
"58","GUSTAVO A. MADERO","EL ARBOLILLO 1 (U HAB)","05-046",14,11,11,11,13,14,13
"59","GUSTAVO A. MADERO","GABRIEL HERNANDEZ","05-063",37,32,33,40,44,43,45
"60","GUSTAVO A. MADERO","LA JOYA","05-102",46,44,42,46,46,49,54
"61","GUSTAVO A. MADERO","LA PURISIMA TICOMAN (BARR)","05-111",23,18,18,22,23,27,26
"62","GUSTAVO A. MADERO","LINDAVISTA VALLEJO (U HAB)","05-113",13,17,17,17,16,15,13
"63","GUSTAVO A. MADERO","LOMA DE LA PALMA","05-114",52,47,49,51,58,60,67
"64","GUSTAVO A. MADERO","MARTIRES DE RIO BLANCO","05-124",48,46,44,42,38,30,29
"65","GUSTAVO A. MADERO","NUEVA TENOCHTITLAN","05-130",37,38,35,36,37,41,41
"66","GUSTAVO A. MADERO","NUEVA VALLEJO","05-131",30,25,24,29,30,27,31
"67","GUSTAVO A. MADERO","PALMATITLA","05-132",40,44,43,45,40,48,48
"68","GUSTAVO A. MADERO","SALVADOR DIAZ MIRON","05-149",23,24,22,19,20,21,17
"69","GUSTAVO A. MADERO","SAN BARTOLO ATEPEHUACAN (PBLO)","05-151",23,23,22,24,25,24,25
"70","GUSTAVO A. MADERO","SAN JUAN DE ARAGON (PBLO)","05-156",70,69,65,69,68,61,56
"71","GUSTAVO A. MADERO","SAN JUAN DE ARAGON 3A SECCION (U HAB) I","05-159",29,26,22,22,26,20,21
"72","GUSTAVO A. MADERO","SANTA ISABEL TOLA (PBLO)","05-170",52,46,44,47,44,46,44
"73","GUSTAVO A. MADERO","TEPEYAC INSURGENTES","05-181",27,24,27,26,28,28,29
"74","GUSTAVO A. MADERO","TORRES DE QUIROGA (U HAB)","05-185",15,12,14,17,11,9,9
"75","GUSTAVO A. MADERO","25 DE JULIO","05-208",17,15,15,14,14,10,8
"76","GUSTAVO A. MADERO","CASAS ALEMAN (AMPL) I","05-217",33,30,30,31,27,27,27
"77","GUSTAVO A. MADERO","GABRIEL HERNANDEZ (AMPL) II","05-222",23,22,21,25,32,33,32
"78","GUSTAVO A. MADERO","INDUSTRIAL I","05-223",15,13,11,11,14,17,18
"79","GUSTAVO A. MADERO","NUEVA ATZACOALCO II","05-230",37,34,30,33,38,42,39
"80","GUSTAVO A. MADERO","NUEVA ATZACOALCO III","05-231",35,33,30,29,37,41,42
"81","GUSTAVO A. MADERO","SAN FELIPE DE JESUS I","05-237",13,10,10,9,9,9,8
"82","GUSTAVO A. MADERO","SAN FELIPE DE JESUS II","05-238",29,26,25,25,25,26,26
"83","GUSTAVO A. MADERO","SAN FELIPE DE JESUS III","05-239",38,38,33,33,30,29,25
"84","GUSTAVO A. MADERO","SAN FELIPE DE JESUS IV","05-240",47,44,42,45,42,44,42
"85","GUSTAVO A. MADERO","SAN JUAN DE ARAGON 1A SECCION (U HAB) I","05-241",30,30,28,29,25,20,20
"86","GUSTAVO A. MADERO","SAN JUAN DE ARAGON 1A SECCION (U HAB) II","05-242",39,37,35,34,32,29,26
"87","GUSTAVO A. MADERO","SAN JUAN DE ARAGON 4A  Y 5A SECCION (U HAB) II","05-246",25,24,23,25,23,30,30
"88","GUSTAVO A. MADERO","SAN JUAN DE ARAGON 7 SECC (U HAB) II","05-248",18,15,13,13,9,9,10
"89","GUSTAVO A. MADERO","VALLEJO II","05-250",23,23,24,23,26,25,25
"90","GUSTAVO A. MADERO","ZONA ESCOLAR I","05-251",16,15,13,12,10,9,9
"91","GUSTAVO A. MADERO","ZONA ESCOLAR II","05-252",35,35,34,41,44,51,52
"92","IZTACALCO","SANTA ANITA","06-032",46,44,42,49,52,56,51
"93","IZTACALCO","TLACOTAL RAMOS MILLAN","06-036",26,25,23,21,29,25,26
"94","IZTACALCO","VIADUCTO PIEDAD","06-038",24,24,28,34,34,34,34
"95","IZTACALCO","AGRICOLA ORIENTAL II","06-041",28,22,24,22,24,26,27
"96","IZTACALCO","AGRICOLA ORIENTAL V","06-044",36,32,28,30,34,31,32
"97","IZTACALCO","CAMPAMENTO 2 DE OCTUBRE I","06-048",27,26,22,28,29,30,34
"98","IZTACALCO","CAMPAMENTO 2 DE OCTUBRE II","06-049",30,24,24,30,34,38,38
"99","IZTACALCO","GRANJAS MEXICO I","06-050",46,39,41,45,46,37,38
"100","IZTACALCO","GRANJAS MEXICO II","06-051",26,21,18,18,20,22,21
"101","IZTACALCO","JUVENTINO ROSAS I","06-054",24,23,22,27,29,28,28
"102","IZTACALCO","PANTITLAN II","06-057",28,29,29,39,38,36,36
"103","IZTACALCO","PANTITLAN III","06-058",23,20,19,17,15,16,15
"104","IZTACALCO","PANTITLAN IV","06-059",43,44,44,48,44,42,45
"105","IZTACALCO","PANTITLAN V","06-060",29,30,35,33,41,38,39
"106","IZTACALCO","RAMOS MILLAN BRAMADERO I","06-061",40,36,36,31,30,29,24
"107","IZTAPALAPA","CITLALLI","07-030",29,28,26,26,24,28,28
"108","IZTAPALAPA","EL MANTO","07-051",61,54,51,48,49,59,54
"109","IZTAPALAPA","EL MIRADOR","07-053",16,14,13,12,14,16,17
"110","IZTAPALAPA","EL SANTUARIO","07-060",29,28,23,18,20,25,26
"111","IZTAPALAPA","EL VERGEL","07-066",31,32,29,27,26,23,21
"112","IZTAPALAPA","ESCUADRON 201","07-071",23,23,23,22,21,20,15
"113","IZTAPALAPA","FUEGO NUEVO","07-077",34,36,34,34,39,43,43
"114","IZTAPALAPA","GUADALUPE DEL MORAL","07-088",33,31,29,39,45,47,44
"115","IZTAPALAPA","JACARANDAS","07-097",60,62,56,55,60,63,61
"116","IZTAPALAPA","LA PLANTA","07-113",33,29,28,25,28,28,24
