"","alcaldia","colonia","clave_colonia","total_210208","total_210209","total_210210","total_210211","total_210212","total_210213","total_210214"
"1","AZCAPOTZALCO","ARENAL","02-006",NA,NA,NA,NA,NA,NA,NA
"2","AZCAPOTZALCO","CUITLHUAC 3 Y 4 (U HAB)","02-014",NA,9,9,9,8,8,7
"3","AZCAPOTZALCO","DEL GAS","02-015",8,8,9,9,9,9,8
"4","AZCAPOTZALCO","DEL RECREO","02-018",21,23,22,18,19,17,16
"5","AZCAPOTZALCO","EL ROSARIO C (U HAB)","02-025",33,28,21,23,24,31,32
"6","AZCAPOTZALCO","NUEVO SAN RAFAEL (BARR)","02-053",NA,NA,NA,NA,NA,NA,NA
"7","AZCAPOTZALCO","SAN  MIGUEL AMANTLA (PBLO)","02-069",12,12,12,12,12,13,12
"8","AZCAPOTZALCO","SAN JUAN TLIHUACA (PBLO)","02-079",22,17,18,15,14,13,10
"9","AZCAPOTZALCO","SAN MARCOS (BARR)","02-080",12,12,12,11,15,17,13
"10","AZCAPOTZALCO","SAN PEDRO XALPA (PBLO)","02-085",16,27,32,31,25,21,19
"11","AZCAPOTZALCO","SANTIAGO AHUIZOTLA (PBLO)","02-097",29,25,24,22,20,22,20
"12","AZCAPOTZALCO","SANTO TOMAS","02-099",NA,7,7,7,9,11,11
"13","AZCAPOTZALCO","TEZOZOMOC","02-102",17,17,16,16,13,12,11
"14","AZCAPOTZALCO","TLATILCO","02-104",NA,NA,NA,NA,NA,NA,6
"15","AZCAPOTZALCO","SAN PEDRO XALPA (AMPL) I","02-111",32,29,28,24,27,27,24
"16","AZCAPOTZALCO","SAN PEDRO XALPA (AMPL) II","02-112",25,18,17,16,17,13,14
"17","COYOACAN","CTM V CULHUACAN (U HAB)","03-029",21,22,21,24,23,20,18
"18","COYOACAN","CTM VI CULHUACAN (U HAB)","03-030",18,20,24,28,26,26,24
"19","COYOACAN","CTM VII CULHUACAN (U HAB)","03-031",18,19,18,18,15,15,13
"20","COYOACAN","DE LA CANDELARIA (PBLO)","03-036",26,27,28,31,31,39,38
"21","COYOACAN","DEL CARMEN","03-037",13,14,16,19,18,21,21
"22","COYOACAN","EDUCACION","03-039",18,20,22,23,24,24,22
"23","COYOACAN","LOS REYES (PBLO)","03-078",39,40,35,31,29,32,29
"24","COYOACAN","PRADO CHURUBUSCO","03-094",15,15,14,12,8,6,6
"25","COYOACAN","SAN FRANCISCO CULHUACAN (PBLO)","03-101",47,48,43,36,33,28,25
"26","COYOACAN","SANTA URSULA COAPA (PBLO)","03-109",32,28,28,29,27,26,24
"27","COYOACAN","VIEJO EJIDO SANTA URSULA COAPA","03-113",25,25,21,24,25,26,23
"28","COYOACAN","VILLA COYOACAN","03-114",6,6,7,6,6,6,6
"29","COYOACAN","AJUSCO I","03-128",24,29,30,34,35,33,35
"30","COYOACAN","AJUSCO II","03-129",35,46,50,48,42,39,36
"31","COYOACAN","PEDREGAL DE SANTA URSULA I","03-135",55,55,55,50,50,59,58
"32","COYOACAN","PEDREGAL DE SANTA URSULA II","03-136",48,50,44,46,51,57,55
"33","COYOACAN","PEDREGAL DE SANTA URSULA III","03-137",49,53,51,48,47,46,43
"34","COYOACAN","PEDREGAL DE STO DOMINGO I","03-139",18,19,18,20,21,26,26
"35","COYOACAN","PEDREGAL DE STO DOMINGO II","03-140",27,26,24,25,29,29,27
