"","alcaldia","colonia","clave_colonia","total_201221","total_201222","total_201223","total_201224","total_201225","total_201226","total_201227"
"1","AZCAPOTZALCO","ARENAL","02-006",10,16,12,13,14,14,14
"2","AZCAPOTZALCO","CUITLHUAC 3 Y 4 (U HAB)","02-014",12,12,12,14,15,14,13
"3","AZCAPOTZALCO","DEL GAS","02-015",9,10,8,6,7,7,7
"4","AZCAPOTZALCO","DEL RECREO","02-018",29,26,26,25,24,20,17
"5","AZCAPOTZALCO","EL ROSARIO C (U HAB)","02-025",37,47,45,51,53,49,53
"6","AZCAPOTZALCO","NUEVO SAN RAFAEL (BARR)","02-053",NA,NA,NA,NA,NA,NA,NA
"7","AZCAPOTZALCO","SAN  MIGUEL AMANTLA (PBLO)","02-069",29,32,32,37,38,36,30
"8","AZCAPOTZALCO","SAN JUAN TLIHUACA (PBLO)","02-079",47,54,64,64,62,60,53
"9","AZCAPOTZALCO","SAN MARCOS (BARR)","02-080",13,15,18,22,19,17,14
"10","AZCAPOTZALCO","SAN PEDRO XALPA (PBLO)","02-085",27,30,27,30,32,31,30
"11","AZCAPOTZALCO","SANTIAGO AHUIZOTLA (PBLO)","02-097",41,42,46,51,46,41,38
"12","AZCAPOTZALCO","SANTO TOMAS","02-099",10,14,15,15,14,10,9
"13","AZCAPOTZALCO","TEZOZOMOC","02-102",19,22,23,25,25,23,21
"14","AZCAPOTZALCO","TLATILCO","02-104",11,20,22,19,17,17,19
"15","AZCAPOTZALCO","SAN PEDRO XALPA (AMPL) I","02-111",40,42,46,42,42,42,34
"16","AZCAPOTZALCO","SAN PEDRO XALPA (AMPL) II","02-112",11,13,15,13,16,17,15
"17","COYOACAN","CTM V CULHUACAN (U HAB)","03-029",34,35,33,31,30,26,22
"18","COYOACAN","CTM VI CULHUACAN (U HAB)","03-030",40,42,37,41,41,36,36
"19","COYOACAN","CTM VII CULHUACAN (U HAB)","03-031",19,23,19,19,20,14,14
"20","COYOACAN","DE LA CANDELARIA (PBLO)","03-036",30,31,31,36,37,33,36
