"","alcaldia","colonia","clave_colonia","total_201128","total_201129","total_201130","total_201201","total_201202","total_201203"
"1","AZCAPOTZALCO","ARENAL","02-006",8,8,6,6,7,9
"2","AZCAPOTZALCO","CUITLHUAC 3 Y 4 (U HAB)","02-014",NA,NA,NA,9,9,9
"3","AZCAPOTZALCO","DEL GAS","02-015",14,15,14,14,14,18
"4","AZCAPOTZALCO","DEL RECREO","02-018",20,21,22,23,24,23
"5","AZCAPOTZALCO","EL ROSARIO C (U HAB)","02-025",25,30,28,34,36,40
"6","AZCAPOTZALCO","NUEVO SAN RAFAEL (BARR)","02-053",NA,NA,NA,NA,NA,7
"7","AZCAPOTZALCO","SAN  MIGUEL AMANTLA (PBLO)","02-069",13,10,11,11,12,15
"8","AZCAPOTZALCO","SAN JUAN TLIHUACA (PBLO)","02-079",14,14,15,19,20,26
"9","AZCAPOTZALCO","SAN MARCOS (BARR)","02-080",14,14,15,15,15,17
"10","AZCAPOTZALCO","SAN PEDRO XALPA (PBLO)","02-085",10,13,13,14,18,22
"11","AZCAPOTZALCO","SANTIAGO AHUIZOTLA (PBLO)","02-097",10,10,10,10,14,14
"12","AZCAPOTZALCO","SANTO TOMAS","02-099",NA,NA,NA,NA,NA,NA
"13","AZCAPOTZALCO","TEZOZOMOC","02-102",12,14,14,17,20,23
"14","AZCAPOTZALCO","TLATILCO","02-104",NA,NA,NA,NA,7,8
"15","AZCAPOTZALCO","SAN PEDRO XALPA (AMPL) I","02-111",10,11,11,13,11,15
"16","AZCAPOTZALCO","SAN PEDRO XALPA (AMPL) II","02-112",NA,NA,NA,NA,NA,6
"17","COYOACAN","CTM V CULHUACAN (U HAB)","03-029",10,10,11,15,16,18
"18","COYOACAN","CTM VI CULHUACAN (U HAB)","03-030",9,9,9,10,13,13
"19","COYOACAN","CTM VII CULHUACAN (U HAB)","03-031",8,9,8,9,11,13
"20","COYOACAN","DE LA CANDELARIA (PBLO)","03-036",11,11,11,13,14,18
"21","COYOACAN","DEL CARMEN","03-037",12,12,11,8,8,8
"22","COYOACAN","EDUCACION","03-039",NA,NA,NA,NA,8,13
"23","COYOACAN","LOS REYES (PBLO)","03-078",32,31,31,31,33,36
"24","COYOACAN","PRADO CHURUBUSCO","03-094",11,11,9,11,14,15
"25","COYOACAN","SAN FRANCISCO CULHUACAN (PBLO)","03-101",15,16,15,17,20,21
"26","COYOACAN","SANTA URSULA COAPA (PBLO)","03-109",20,21,21,24,24,23
"27","COYOACAN","VIEJO EJIDO SANTA URSULA COAPA","03-113",14,14,12,12,17,19
"28","COYOACAN","VILLA COYOACAN","03-114",7,6,NA,NA,NA,7
"29","COYOACAN","AJUSCO I","03-128",20,20,19,23,27,33
"30","COYOACAN","AJUSCO II","03-129",23,23,23,27,29,36
"31","COYOACAN","PEDREGAL DE SANTA URSULA I","03-135",23,24,23,26,28,32
"32","COYOACAN","PEDREGAL DE SANTA URSULA II","03-136",20,19,18,20,24,28
"33","COYOACAN","PEDREGAL DE SANTA URSULA III","03-137",26,28,26,30,34,38
"34","COYOACAN","PEDREGAL DE STO DOMINGO I","03-139",12,14,14,14,16,17
"35","COYOACAN","PEDREGAL DE STO DOMINGO II","03-140",26,30,29,30,34,37
"36","COYOACAN","PEDREGAL DE STO DOMINGO IV","03-142",31,38,39,40,43,45
"37","COYOACAN","PEDREGAL DE STO DOMINGO V","03-143",13,16,17,22,24,30
"38","COYOACAN","PEDREGAL DE STO DOMINGO VI","03-144",7,7,7,9,10,15
"39","COYOACAN","PEDREGAL DE STO DOMINGO VII","03-145",22,24,25,30,38,40
"40","COYOACAN","PEDREGAL DE STO DOMINGO IX","03-147",15,15,15,19,23,26
"41","CUAJIMALPA DE MORELOS","EL CONTADERO","04-015",NA,NA,NA,NA,6,8
"42","CUAJIMALPA DE MORELOS","LA PILA","04-023",NA,NA,NA,NA,NA,NA
"43","CUAJIMALPA DE MORELOS","LAS LAJAS","04-026",NA,NA,NA,NA,NA,NA
"44","CUAJIMALPA DE MORELOS","TEXCALCO","04-027",NA,NA,NA,NA,NA,NA
"45","CUAJIMALPA DE MORELOS","LOMA DEL PADRE","04-030",NA,NA,6,6,6,6
"46","CUAJIMALPA DE MORELOS","NAVIDAD (GRANJAS DE NAVIDAD)","04-036",9,11,11,14,21,24
"47","CUAJIMALPA DE MORELOS","PALO ALTO (GRANJAS)","04-038",NA,NA,NA,NA,NA,NA
"48","CUAJIMALPA DE MORELOS","SAN LORENZO ACOPILCO (PBLO)","04-045",23,25,25,28,26,27
"49","CUAJIMALPA DE MORELOS","SAN MATEO TLALTENANGO (PBLO)","04-046",6,12,12,15,15,15
"50","CUAJIMALPA DE MORELOS","ZENTLAPATL","04-052",NA,NA,NA,NA,NA,NA
"51","CUAJIMALPA DE MORELOS","SAN PEDRO CUAJIMALPA (PBLO)","04-056",9,13,13,16,20,22
"52","CUAJIMALPA DE MORELOS","SAN JOSE DE LOS CEDROS I","04-058",NA,6,8,13,14,15
"53","CUAJIMALPA DE MORELOS","SAN JOSE DE LOS CEDROS II","04-059",6,9,10,12,14,17
"54","GUSTAVO A. MADERO","CONSTITUCION DE LA REPUBLICA","05-029",8,9,10,13,13,15
"55","GUSTAVO A. MADERO","CUCHILLA DEL TESORO","05-035",19,22,23,26,28,29
"56","GUSTAVO A. MADERO","DEL BOSQUE","05-038",NA,NA,NA,NA,NA,6
"57","GUSTAVO A. MADERO","EJIDOS SAN JUAN DE ARAGON 1A SECCION (U HAB)","05-043",NA,NA,6,6,7,6
"58","GUSTAVO A. MADERO","EL ARBOLILLO 1 (U HAB)","05-046",6,7,7,7,7,8
"59","GUSTAVO A. MADERO","GABRIEL HERNANDEZ","05-063",7,6,NA,6,6,9
"60","GUSTAVO A. MADERO","LA JOYA","05-102",8,8,9,13,14,16
"61","GUSTAVO A. MADERO","LA PURISIMA TICOMAN (BARR)","05-111",6,6,8,6,8,10
"62","GUSTAVO A. MADERO","LINDAVISTA VALLEJO (U HAB)","05-113",9,10,10,9,15,14
"63","GUSTAVO A. MADERO","LOMA DE LA PALMA","05-114",16,20,19,20,21,22
"64","GUSTAVO A. MADERO","MARTIRES DE RIO BLANCO","05-124",12,14,12,14,14,16
"65","GUSTAVO A. MADERO","NUEVA TENOCHTITLAN","05-130",7,7,7,11,20,23
"66","GUSTAVO A. MADERO","NUEVA VALLEJO","05-131",11,13,10,13,12,14
"67","GUSTAVO A. MADERO","PALMATITLA","05-132",NA,NA,NA,8,9,11
"68","GUSTAVO A. MADERO","SALVADOR DIAZ MIRON","05-149",10,10,8,8,12,11
"69","GUSTAVO A. MADERO","SAN BARTOLO ATEPEHUACAN (PBLO)","05-151",NA,10,10,12,13,19
"70","GUSTAVO A. MADERO","SAN JUAN DE ARAGON (PBLO)","05-156",NA,NA,NA,14,18,20
"71","GUSTAVO A. MADERO","SAN JUAN DE ARAGON 3A SECCION (U HAB) I","05-159",6,6,6,7,7,8
"72","GUSTAVO A. MADERO","SANTA ISABEL TOLA (PBLO)","05-170",6,6,8,10,12,21
"73","GUSTAVO A. MADERO","TEPEYAC INSURGENTES","05-181",14,16,12,13,14,14
"74","GUSTAVO A. MADERO","TORRES DE QUIROGA (U HAB)","05-185",6,7,7,8,10,11
"75","GUSTAVO A. MADERO","25 DE JULIO","05-208",NA,NA,NA,NA,NA,NA
