Clave,Fecha,Casos positivos
05-011,200630,6
05-011,200903,8
05-011,200904,8
05-011,200905,7
05-011,200906,7
05-011,200907,7
05-011,200908,7
05-011,200909,7
05-011,200910,8
05-011,200911,7
05-011,200912,6
05-011,201004,6
05-011,201006,6
05-011,201007,6
05-011,201008,6
05-011,201009,6
05-011,201010,6
05-011,201011,6
05-011,201012,6
05-011,201013,6
05-011,201128,6
05-011,201129,8
05-011,201130,7
05-011,201201,11
05-011,201202,12
05-011,201203,12
05-011,201205,26
05-011,201206,13
05-011,201207,15
05-011,201208,16
05-011,201209,15
05-011,201210,15
05-011,201211,16
05-011,201212,14
05-011,201214,14
05-011,201215,13
05-011,201216,12
05-011,201217,15
05-011,201218,15
05-011,201219,15
05-011,201220,13
05-011,201221,13
05-011,201222,16
05-011,201223,16
05-011,201224,15
05-011,201225,17
05-011,201226,15
05-011,201227,17
05-011,201228,16
05-011,201229,21
05-011,201230,21
05-011,201231,23
05-011,210101,24
05-011,210102,24
05-011,210103,23
05-029,200629,8
05-029,200630,7
05-029,200721,8
05-029,200722,10
05-029,200723,9
05-029,200724,9
05-029,200726,8
05-029,200727,9
05-029,200728,8
05-029,200729,7
05-029,200730,7
05-029,200731,6
05-029,200801,6
05-029,200802,7
05-029,200803,8
05-029,200804,6
05-029,200807,6
05-029,200808,6
05-029,200817,6
05-029,200820,7
05-029,200821,7
05-029,200822,7
05-029,200823,7
05-029,200824,7
05-029,200825,7
05-029,200826,9
05-029,200827,10
05-029,200828,10
05-029,200829,9
05-029,200830,9
05-029,200831,6
05-029,200923,7
05-029,200924,6
05-029,201002,6
05-029,201003,6
05-029,201004,6
05-029,201005,6
05-029,201008,6
05-029,201020,8
05-029,201021,9
05-029,201022,9
05-029,201023,8
05-029,201028,8
05-029,201029,9
05-029,201030,7
05-029,201031,8
05-029,201101,7
05-029,201102,6
05-029,201105,7
05-029,201127,6
05-029,201128,8
05-029,201129,9
05-029,201130,10
05-029,201201,13
05-029,201202,13
05-029,201203,15
05-029,201205,35
05-029,201206,17
05-029,201207,17
05-029,201208,22
05-029,201209,24
05-029,201210,28
05-029,201211,29
05-029,201212,37
05-029,201214,37
05-029,201215,42
05-029,201216,40
05-029,201217,40
05-029,201218,47
05-029,201219,46
05-029,201220,41
05-029,201221,39
05-029,201222,45
05-029,201223,44
05-029,201224,41
05-029,201225,44
05-029,201226,38
05-029,201227,37
05-029,201228,31
05-029,201229,32
05-029,201230,31
05-029,201231,30
05-029,210101,26
05-029,210102,23
05-029,210103,17
05-031,200710,6
05-031,200711,6
05-031,200714,6
05-031,200813,6
05-031,200830,6
05-031,200831,6
05-031,200901,6
05-031,200902,10
05-031,200903,9
05-031,200904,8
05-031,200905,8
05-031,200906,10
05-031,200907,10
05-031,200908,11
05-031,200909,12
05-031,200910,13
05-031,200911,11
05-031,200912,13
05-031,200913,11
05-031,200914,9
05-031,200915,10
05-031,200916,9
05-031,200917,7
05-031,200918,9
05-031,200919,9
05-031,200920,8
05-031,200921,6
05-031,200922,6
05-031,200924,11
05-031,200925,10
05-031,200926,9
05-031,200927,9
05-031,200928,9
05-031,200929,9
05-031,200930,9
05-031,201001,9
05-031,201002,11
05-031,201003,11
05-031,201004,34
05-031,201005,36
05-031,201006,35
05-031,201007,37
05-031,201008,35
05-031,201009,36
05-031,201010,43
05-031,201011,44
05-031,201012,40
05-031,201013,32
05-031,201014,28
05-031,201015,26
05-031,201016,37
05-031,201017,33
05-031,201018,28
05-031,201019,31
05-031,201020,31
05-031,201021,28
05-031,201022,24
05-031,201023,18
05-031,201024,14
05-031,201025,12
05-031,201026,7
05-031,201028,12
05-031,201029,12
05-031,201030,12
05-031,201031,15
05-031,201101,14
05-031,201102,14
05-031,201103,12
05-031,201104,12
05-031,201105,9
05-031,201106,7
05-031,201125,7
05-031,201126,6
05-031,201127,6
05-031,201128,8
05-031,201129,7
05-031,201130,8
05-031,201201,7
05-031,201202,11
05-031,201203,12
05-031,201205,31
05-031,201206,14
05-031,201207,16
05-031,201208,17
05-031,201209,17
05-031,201210,23
05-031,201211,24
05-031,201212,26
05-031,201214,25
05-031,201215,26
05-031,201216,28
05-031,201217,38
05-031,201218,37
05-031,201219,34
05-031,201220,30
05-031,201221,29
05-031,201222,30
05-031,201223,32
05-031,201224,30
05-031,201225,29
05-031,201226,30
05-031,201227,31
05-031,201228,28
05-031,201229,22
05-031,201230,23
05-031,201231,20
05-031,210101,20
05-031,210102,22
05-031,210103,20
05-032,200710,6
05-032,200711,6
05-032,200712,6
05-032,200720,7
05-032,200721,7
05-032,200722,6
05-032,200923,7
05-032,200924,7
05-032,200925,10
05-032,200926,9
05-032,200927,11
05-032,200928,12
05-032,200929,11
05-032,200930,14
05-032,201001,12
05-032,201002,12
05-032,201003,11
05-032,201004,11
05-032,201005,14
05-032,201006,13
05-032,201007,13
05-032,201008,13
05-032,201009,11
05-032,201010,17
05-032,201011,18
05-032,201012,16
05-032,201013,16
05-032,201014,16
05-032,201015,16
05-032,201016,19
05-032,201017,18
05-032,201018,16
05-032,201019,13
05-032,201020,12
05-032,201021,11
05-032,201022,8
05-032,201023,7
05-032,201024,7
05-032,201025,6
05-032,201028,10
05-032,201029,11
05-032,201030,11
05-032,201031,13
05-032,201101,15
05-032,201102,14
05-032,201103,13
05-032,201104,11
05-032,201105,7
05-032,201107,7
05-032,201108,7
05-032,201109,7
05-032,201110,6
05-032,201111,6
05-032,201112,6
05-032,201201,6
05-032,201202,8
05-032,201203,10
05-032,201205,29
05-032,201206,18
05-032,201207,18
05-032,201208,21
05-032,201209,25
05-032,201210,29
05-032,201211,39
05-032,201212,42
05-032,201214,39
05-032,201215,40
05-032,201216,37
05-032,201217,38
05-032,201218,43
05-032,201219,42
05-032,201220,38
05-032,201221,44
05-032,201222,39
05-032,201223,37
05-032,201224,38
05-032,201225,37
05-032,201226,36
05-032,201227,33
05-032,201228,28
05-032,201229,25
05-032,201230,22
05-032,201231,22
05-032,210101,17
05-032,210102,17
05-032,210103,14
05-035,200629,12
05-035,200630,11
05-035,200701,11
05-035,200702,11
05-035,200703,11
