,name,vicinity,rating,Users_ratings_total,lng,lat
0,Tianguis,"Eugenia 404-206, Col del Valle Centro, Ciudad de México",5.0,2,-99.17283669999999,19.3886308
1,Tianguis,"Alabama, Nápoles, Ciudad de México",4.5,2,-99.1772175,19.3902257
2,Tianguis de los Viernes,"Av Nuevo León 139, Hipódromo, Ciudad de México",4.2,169,-99.1728971,19.4093491
3,Tianguis,"Av Porfirio Díaz, Col del Valle Centro, Ciudad de México",4.2,20,-99.1723914,19.3817105
4,Tianguis,"Sta Fé, Mexico City",4.3,352,-99.24851249999999,19.3802825
5,Tianguis,"03200, Moras 905, Tlacoquemecatl del Valle, Ciudad de México",4.4,57,-99.1724326,19.3793299
6,Tianguis Sullivan,"Calle Gabino Barreda 136, San Rafael, Ciudad de México",4.4,1403,-99.1647491,19.4344539
7,Condesa Tianguis,"Pachuca 13, Colonia Condesa, Ciudad de México",4.3,593,-99.1761701,19.4183364
8,Tianguis,"01569, Av Centenario 1225B, Valentín Gómez Farías, Ciudad de México",4.3,8,-99.2311914,19.35969
9,Tianguis la Búfalo,"Río Becerra MZ7 LT3, Sacramento, Ciudad de México",4.2,50,-99.19899370000002,19.3818187
10,Mega Tianguis,"01420, Río Becerra 4050, Sacramento, Ciudad de México",4.3,151,-99.1965099,19.3826398
11,Tianguis,"Av Centenario 2005, Progresista, Ciudad de México",4.5,2,-99.2407873,19.3556383
12,Tianguis Actipan,"Actipan 88, Actipan, Ciudad de México",4.3,128,-99.1793209,19.3698942
13,Tianguis Dominical De La Napoles,"Colonia Nápoles, Mexico City",3.6,12,-99.1782453,19.3939287
14,CASA BONITO TIANGUIS,"Calle 21 # 109, San Pedro de los Pinos, Ciudad de México",4.4,5,-99.1833159,19.3875462
15,Tianguis,"Ciudad de los Deportes, Mexico City",0.0,0,-99.1793464,19.3837989
16,Tianguis de los Martes Polanco,"Av. Jaime Balmes, Polanco, Polanco I Secc, Ciudad de México",4.6,9,-99.21000199999999,19.4383026
17,Tianguis parque Acacias,"Acacias 39, Acacias, Ciudad de México",3.3,3,-99.173407,19.3635375
18,Tianguis,"03810, Filadelfia 83, Nápoles, Ciudad de México",4.4,475,-99.1760972,19.3935855
19,Tianguis Cultural Condesa,"Campeche 367, Colonia Condesa, Ciudad de México",5.0,2,-99.17448309999999,19.4098594
20,Tianguis La Raza,"Av. Insurgentes Nte. 1195, Vallejo, Ciudad de México",4.3,1236,-99.1374993,19.4692509
21,Tianguis Cultural del Chopo,"Calle Juan Aldama, Buenavista, Ciudad de México",4.5,7093,-99.14980940000001,19.448989
22,Tianguis,"Ote. 95, Norte 76-A &, La Joya, Ciudad de México",0.0,0,-99.1064141,19.4603783
23,Tianguis Corpus Christi,"Unnamed Road, Guadalupe Tepeyac, Ciudad de México",4.3,151,-99.12202169999999,19.4660739
24,"Tianguis ""Nueva Vallejo"".","Pte. 126 306-308, Lindavista Vallejo III Secc, Ciudad de México",4.3,16,-99.1462885,19.4859434
25,"Tianguis ""Pte. 108"".","Pte. 108 204-202, Defensores de la República, Ciudad de México",4.3,298,-99.1426504,19.4751791
26,Tianguis Río Blanco del Miércoles.,"07890 de, Calle Nte. 74 3811, La Joya, Ciudad de México",4.3,548,-99.108183,19.460728
27,Tianguis los días viernes,"Av. Victoria Ote. 128-122, Col. Estrella, Ciudad de México",4.2,47,-99.1165202,19.4715194
28,Tianguis Del Parque Calles,"Cobre, Popular Rastro, Colonia",4.5,6,-99.1179018,19.4526152
29,"Tianguis of San Felipe ""The largest in Latin America""","Av Villa de Ayala 237, San Felipe de Jesús, Ciudad de México",4.6,3802,-99.0752806,19.4902548
30,Tianguis María del Carmen.,"07800, Parque Maria del Carmen 21, Industrial, Ciudad de México",4.1,129,-99.1284826,19.4723142
31,"Tianguis Dominical De Antiguedades ""Lagunilla""","06200 de, González Bocanegra 66, Morelos, Ciudad de México",4.5,118,-99.13562379999999,19.4463993
32,Tianguis de los Miércoles,"Viña del Mar 858, Residencial Zacatenco, Ciudad de México",4.5,55,-99.122991,19.5066443
33,Tianguis de los Jueves,"Antonio Ruiz Galindo 4225-4263, San Pedro el Chico, Ciudad de México",4.5,13,-99.0982082,19.4715352
