"","alcaldia","colonia","clave_colonia","total_210315","total_210316","total_210317","total_210318","total_210319","total_210320","total_210321"
"1","AZCAPOTZALCO","ARENAL","02-006",9,9,8,7,6,6,6
"2","AZCAPOTZALCO","CUITLHUAC 3 Y 4 (U HAB)","02-014",NA,NA,NA,NA,NA,NA,NA
"3","AZCAPOTZALCO","DEL GAS","02-015",9,9,8,7,7,7,8
"4","AZCAPOTZALCO","DEL RECREO","02-018",9,NA,NA,NA,6,NA,NA
"5","AZCAPOTZALCO","EL ROSARIO C (U HAB)","02-025",21,18,15,15,15,17,16
"6","AZCAPOTZALCO","NUEVO SAN RAFAEL (BARR)","02-053",NA,NA,NA,NA,8,8,8
"7","AZCAPOTZALCO","SAN  MIGUEL AMANTLA (PBLO)","02-069",13,12,9,10,7,7,6
"8","AZCAPOTZALCO","SAN JUAN TLIHUACA (PBLO)","02-079",7,6,13,13,16,22,22
"9","AZCAPOTZALCO","SAN MARCOS (BARR)","02-080",10,8,7,8,9,13,11
"10","AZCAPOTZALCO","SAN PEDRO XALPA (PBLO)","02-085",NA,NA,NA,NA,NA,NA,NA
"11","AZCAPOTZALCO","SANTIAGO AHUIZOTLA (PBLO)","02-097",14,13,9,8,11,12,11
"12","AZCAPOTZALCO","SANTO TOMAS","02-099",11,8,NA,NA,NA,NA,NA
"13","AZCAPOTZALCO","TEZOZOMOC","02-102",15,14,8,7,9,8,7
"14","AZCAPOTZALCO","TLATILCO","02-104",NA,NA,NA,NA,NA,NA,NA
"15","AZCAPOTZALCO","SAN PEDRO XALPA (AMPL) I","02-111",15,14,15,12,11,10,9
"16","AZCAPOTZALCO","SAN PEDRO XALPA (AMPL) II","02-112",NA,NA,7,7,8,7,8
"17","COYOACAN","CTM V CULHUACAN (U HAB)","03-029",15,14,12,10,9,6,NA
"18","COYOACAN","CTM VI CULHUACAN (U HAB)","03-030",16,16,14,12,11,10,10
"19","COYOACAN","CTM VII CULHUACAN (U HAB)","03-031",16,15,15,15,16,16,16
"20","COYOACAN","DE LA CANDELARIA (PBLO)","03-036",7,6,9,9,9,9,9
"21","COYOACAN","DEL CARMEN","03-037",15,14,11,13,13,11,9
"22","COYOACAN","EDUCACION","03-039",9,8,8,7,7,7,6
"23","COYOACAN","LOS REYES (PBLO)","03-078",31,27,26,32,31,36,34
"24","COYOACAN","PRADO CHURUBUSCO","03-094",8,7,8,8,7,8,7
"25","COYOACAN","SAN FRANCISCO CULHUACAN (PBLO)","03-101",11,10,7,NA,NA,NA,NA
"26","COYOACAN","SANTA URSULA COAPA (PBLO)","03-109",14,14,13,13,16,18,16
"27","COYOACAN","VIEJO EJIDO SANTA URSULA COAPA","03-113",12,11,7,NA,NA,NA,NA
"28","COYOACAN","VILLA COYOACAN","03-114",11,10,10,12,12,10,10
"29","COYOACAN","AJUSCO I","03-128",14,13,12,10,12,11,10
"30","COYOACAN","AJUSCO II","03-129",20,20,23,24,23,23,23
"31","COYOACAN","PEDREGAL DE SANTA URSULA I","03-135",14,13,10,12,9,11,11
"32","COYOACAN","PEDREGAL DE SANTA URSULA II","03-136",18,19,18,20,20,21,18
"33","COYOACAN","PEDREGAL DE SANTA URSULA III","03-137",29,29,22,20,18,15,16
"34","COYOACAN","PEDREGAL DE STO DOMINGO I","03-139",12,12,14,12,13,13,11
"35","COYOACAN","PEDREGAL DE STO DOMINGO II","03-140",20,18,20,20,18,15,11
"36","COYOACAN","PEDREGAL DE STO DOMINGO IV","03-142",26,26,22,20,19,20,20
"37","COYOACAN","PEDREGAL DE STO DOMINGO V","03-143",18,19,20,19,21,22,21
"38","COYOACAN","PEDREGAL DE STO DOMINGO VI","03-144",11,9,9,7,7,6,6
"39","COYOACAN","PEDREGAL DE STO DOMINGO VII","03-145",8,8,6,9,13,13,12
"40","COYOACAN","PEDREGAL DE STO DOMINGO IX","03-147",19,17,17,17,14,11,7
"41","CUAJIMALPA DE MORELOS","EL CONTADERO","04-015",NA,NA,6,6,6,NA,NA
"42","CUAJIMALPA DE MORELOS","LA PILA","04-023",6,6,6,7,NA,NA,NA
"43","CUAJIMALPA DE MORELOS","LAS LAJAS","04-026",NA,NA,NA,NA,NA,NA,NA
"44","CUAJIMALPA DE MORELOS","TEXCALCO","04-027",NA,NA,NA,NA,NA,NA,NA
"45","CUAJIMALPA DE MORELOS","LOMA DEL PADRE","04-030",8,9,9,10,10,10,10
"46","CUAJIMALPA DE MORELOS","NAVIDAD (GRANJAS DE NAVIDAD)","04-036",29,28,23,22,21,18,20
"47","CUAJIMALPA DE MORELOS","PALO ALTO (GRANJAS)","04-038",NA,NA,NA,NA,NA,NA,NA
"48","CUAJIMALPA DE MORELOS","SAN LORENZO ACOPILCO (PBLO)","04-045",23,23,18,18,22,23,23
"49","CUAJIMALPA DE MORELOS","SAN MATEO TLALTENANGO (PBLO)","04-046",31,32,34,30,26,23,17
"50","CUAJIMALPA DE MORELOS","ZENTLAPATL","04-052",9,8,9,10,11,8,8
"51","CUAJIMALPA DE MORELOS","SAN PEDRO CUAJIMALPA (PBLO)","04-056",28,28,26,24,23,25,21
"52","CUAJIMALPA DE MORELOS","SAN JOSE DE LOS CEDROS I","04-058",19,19,19,15,13,14,14
"53","CUAJIMALPA DE MORELOS","SAN JOSE DE LOS CEDROS II","04-059",10,10,11,14,16,17,18
"54","GUSTAVO A. MADERO","CONSTITUCION DE LA REPUBLICA","05-029",16,16,15,15,18,13,14
"55","GUSTAVO A. MADERO","CUCHILLA DEL TESORO","05-035",28,21,21,22,23,23,20
"56","GUSTAVO A. MADERO","DEL BOSQUE","05-038",9,9,7,6,NA,NA,NA
"57","GUSTAVO A. MADERO","EJIDOS SAN JUAN DE ARAGON 1A SECCION (U HAB)","05-043",NA,NA,NA,NA,6,NA,NA
"58","GUSTAVO A. MADERO","EL ARBOLILLO 1 (U HAB)","05-046",13,13,11,9,10,12,12
"59","GUSTAVO A. MADERO","GABRIEL HERNANDEZ","05-063",12,9,8,8,11,11,13
"60","GUSTAVO A. MADERO","LA JOYA","05-102",13,12,13,13,14,11,10
"61","GUSTAVO A. MADERO","LA PURISIMA TICOMAN (BARR)","05-111",13,12,10,10,9,13,13
"62","GUSTAVO A. MADERO","LINDAVISTA VALLEJO (U HAB)","05-113",12,9,10,7,NA,NA,NA
"63","GUSTAVO A. MADERO","LOMA DE LA PALMA","05-114",17,15,18,14,12,14,13
"64","GUSTAVO A. MADERO","MARTIRES DE RIO BLANCO","05-124",8,7,NA,NA,NA,NA,NA
"65","GUSTAVO A. MADERO","NUEVA TENOCHTITLAN","05-130",13,11,10,10,10,8,8
"66","GUSTAVO A. MADERO","NUEVA VALLEJO","05-131",25,22,16,18,18,18,17
"67","GUSTAVO A. MADERO","PALMATITLA","05-132",13,14,14,12,14,16,20
"68","GUSTAVO A. MADERO","SALVADOR DIAZ MIRON","05-149",13,13,12,10,10,10,8
