"","alcaldia","colonia","clave_colonia","total_210206","total_210207"
"1","AZCAPOTZALCO","ARENAL","02-006",NA,NA
"2","AZCAPOTZALCO","CUITLHUAC 3 Y 4 (U HAB)","02-014",NA,6
"3","AZCAPOTZALCO","DEL GAS","02-015",10,10
"4","AZCAPOTZALCO","DEL RECREO","02-018",26,23
"5","AZCAPOTZALCO","EL ROSARIO C (U HAB)","02-025",40,37
"6","AZCAPOTZALCO","NUEVO SAN RAFAEL (BARR)","02-053",NA,NA
"7","AZCAPOTZALCO","SAN  MIGUEL AMANTLA (PBLO)","02-069",14,12
"8","AZCAPOTZALCO","SAN JUAN TLIHUACA (PBLO)","02-079",25,24
"9","AZCAPOTZALCO","SAN MARCOS (BARR)","02-080",13,14
"10","AZCAPOTZALCO","SAN PEDRO XALPA (PBLO)","02-085",22,17
"11","AZCAPOTZALCO","SANTIAGO AHUIZOTLA (PBLO)","02-097",35,32
"12","AZCAPOTZALCO","SANTO TOMAS","02-099",NA,NA
"13","AZCAPOTZALCO","TEZOZOMOC","02-102",26,24
"14","AZCAPOTZALCO","TLATILCO","02-104",8,6
"15","AZCAPOTZALCO","SAN PEDRO XALPA (AMPL) I","02-111",37,35
"16","AZCAPOTZALCO","SAN PEDRO XALPA (AMPL) II","02-112",34,31
"17","COYOACAN","CTM V CULHUACAN (U HAB)","03-029",23,23
"18","COYOACAN","CTM VI CULHUACAN (U HAB)","03-030",21,21
"19","COYOACAN","CTM VII CULHUACAN (U HAB)","03-031",21,19
"20","COYOACAN","DE LA CANDELARIA (PBLO)","03-036",28,28
"21","COYOACAN","DEL CARMEN","03-037",17,13
"22","COYOACAN","EDUCACION","03-039",19,20
"23","COYOACAN","LOS REYES (PBLO)","03-078",39,39
"24","COYOACAN","PRADO CHURUBUSCO","03-094",15,15
"25","COYOACAN","SAN FRANCISCO CULHUACAN (PBLO)","03-101",49,49
"26","COYOACAN","SANTA URSULA COAPA (PBLO)","03-109",36,35
"27","COYOACAN","VIEJO EJIDO SANTA URSULA COAPA","03-113",28,25
"28","COYOACAN","VILLA COYOACAN","03-114",6,8
"29","COYOACAN","AJUSCO I","03-128",24,24
"30","COYOACAN","AJUSCO II","03-129",47,43
"31","COYOACAN","PEDREGAL DE SANTA URSULA I","03-135",56,57
"32","COYOACAN","PEDREGAL DE SANTA URSULA II","03-136",49,48
"33","COYOACAN","PEDREGAL DE SANTA URSULA III","03-137",51,51
"34","COYOACAN","PEDREGAL DE STO DOMINGO I","03-139",20,19
"35","COYOACAN","PEDREGAL DE STO DOMINGO II","03-140",34,29
"36","COYOACAN","PEDREGAL DE STO DOMINGO IV","03-142",64,65
"37","COYOACAN","PEDREGAL DE STO DOMINGO V","03-143",32,29
"38","COYOACAN","PEDREGAL DE STO DOMINGO VI","03-144",27,26
"39","COYOACAN","PEDREGAL DE STO DOMINGO VII","03-145",26,25
"40","COYOACAN","PEDREGAL DE STO DOMINGO IX","03-147",17,16
"41","CUAJIMALPA DE MORELOS","EL CONTADERO","04-015",NA,NA
"42","CUAJIMALPA DE MORELOS","LA PILA","04-023",7,9
"43","CUAJIMALPA DE MORELOS","LAS LAJAS","04-026",NA,NA
"44","CUAJIMALPA DE MORELOS","TEXCALCO","04-027",NA,NA
"45","CUAJIMALPA DE MORELOS","LOMA DEL PADRE","04-030",9,7
"46","CUAJIMALPA DE MORELOS","NAVIDAD (GRANJAS DE NAVIDAD)","04-036",56,53
"47","CUAJIMALPA DE MORELOS","PALO ALTO (GRANJAS)","04-038",10,10
"48","CUAJIMALPA DE MORELOS","SAN LORENZO ACOPILCO (PBLO)","04-045",16,14
"49","CUAJIMALPA DE MORELOS","SAN MATEO TLALTENANGO (PBLO)","04-046",11,11
"50","CUAJIMALPA DE MORELOS","ZENTLAPATL","04-052",NA,NA
"51","CUAJIMALPA DE MORELOS","SAN PEDRO CUAJIMALPA (PBLO)","04-056",42,34
"52","CUAJIMALPA DE MORELOS","SAN JOSE DE LOS CEDROS I","04-058",25,22
"53","CUAJIMALPA DE MORELOS","SAN JOSE DE LOS CEDROS II","04-059",21,18
"54","GUSTAVO A. MADERO","CONSTITUCION DE LA REPUBLICA","05-029",30,28
"55","GUSTAVO A. MADERO","CUCHILLA DEL TESORO","05-035",42,43
"56","GUSTAVO A. MADERO","DEL BOSQUE","05-038",13,13
"57","GUSTAVO A. MADERO","EJIDOS SAN JUAN DE ARAGON 1A SECCION (U HAB)","05-043",7,7
"58","GUSTAVO A. MADERO","EL ARBOLILLO 1 (U HAB)","05-046",NA,NA
"59","GUSTAVO A. MADERO","GABRIEL HERNANDEZ","05-063",30,31
"60","GUSTAVO A. MADERO","LA JOYA","05-102",24,20
"61","GUSTAVO A. MADERO","LA PURISIMA TICOMAN (BARR)","05-111",18,15
"62","GUSTAVO A. MADERO","LINDAVISTA VALLEJO (U HAB)","05-113",12,12
"63","GUSTAVO A. MADERO","LOMA DE LA PALMA","05-114",28,26
"64","GUSTAVO A. MADERO","MARTIRES DE RIO BLANCO","05-124",22,20
"65","GUSTAVO A. MADERO","NUEVA TENOCHTITLAN","05-130",43,37
"66","GUSTAVO A. MADERO","NUEVA VALLEJO","05-131",14,14
"67","GUSTAVO A. MADERO","PALMATITLA","05-132",31,28
"68","GUSTAVO A. MADERO","SALVADOR DIAZ MIRON","05-149",17,16
"69","GUSTAVO A. MADERO","SAN BARTOLO ATEPEHUACAN (PBLO)","05-151",16,18
"70","GUSTAVO A. MADERO","SAN JUAN DE ARAGON (PBLO)","05-156",49,48
"71","GUSTAVO A. MADERO","SAN JUAN DE ARAGON 3A SECCION (U HAB) I","05-159",17,15
"72","GUSTAVO A. MADERO","SANTA ISABEL TOLA (PBLO)","05-170",57,56
"73","GUSTAVO A. MADERO","TEPEYAC INSURGENTES","05-181",33,31
"74","GUSTAVO A. MADERO","TORRES DE QUIROGA (U HAB)","05-185",19,17
"75","GUSTAVO A. MADERO","25 DE JULIO","05-208",17,16
"76","GUSTAVO A. MADERO","CASAS ALEMAN (AMPL) I","05-217",43,40
"77","GUSTAVO A. MADERO","GABRIEL HERNANDEZ (AMPL) II","05-222",19,20
"78","GUSTAVO A. MADERO","INDUSTRIAL I","05-223",21,19
"79","GUSTAVO A. MADERO","NUEVA ATZACOALCO II","05-230",44,37
"80","GUSTAVO A. MADERO","NUEVA ATZACOALCO III","05-231",28,27
"81","GUSTAVO A. MADERO","SAN FELIPE DE JESUS I","05-237",12,9
"82","GUSTAVO A. MADERO","SAN FELIPE DE JESUS II","05-238",34,32
"83","GUSTAVO A. MADERO","SAN FELIPE DE JESUS III","05-239",48,43
"84","GUSTAVO A. MADERO","SAN FELIPE DE JESUS IV","05-240",52,55
"85","GUSTAVO A. MADERO","SAN JUAN DE ARAGON 1A SECCION (U HAB) I","05-241",24,22
"86","GUSTAVO A. MADERO","SAN JUAN DE ARAGON 1A SECCION (U HAB) II","05-242",35,35
"87","GUSTAVO A. MADERO","SAN JUAN DE ARAGON 4A  Y 5A SECCION (U HAB) II","05-246",22,19
"88","GUSTAVO A. MADERO","SAN JUAN DE ARAGON 7 SECC (U HAB) II","05-248",13,10
"89","GUSTAVO A. MADERO","VALLEJO II","05-250",23,22
"90","GUSTAVO A. MADERO","ZONA ESCOLAR I","05-251",28,27
"91","GUSTAVO A. MADERO","ZONA ESCOLAR II","05-252",25,20
"92","IZTACALCO","SANTA ANITA","06-032",54,55
"93","IZTACALCO","TLACOTAL RAMOS MILLAN","06-036",28,27
"94","IZTACALCO","VIADUCTO PIEDAD","06-038",12,12
"95","IZTACALCO","AGRICOLA ORIENTAL II","06-041",18,16
"96","IZTACALCO","AGRICOLA ORIENTAL V","06-044",23,21
"97","IZTACALCO","CAMPAMENTO 2 DE OCTUBRE I","06-048",35,34
"98","IZTACALCO","CAMPAMENTO 2 DE OCTUBRE II","06-049",14,15
"99","IZTACALCO","GRANJAS MEXICO I","06-050",27,23
"100","IZTACALCO","GRANJAS MEXICO II","06-051",12,12
"101","IZTACALCO","JUVENTINO ROSAS I","06-054",19,17
"102","IZTACALCO","PANTITLAN II","06-057",33,30
"103","IZTACALCO","PANTITLAN III","06-058",15,13
"104","IZTACALCO","PANTITLAN IV","06-059",38,39
"105","IZTACALCO","PANTITLAN V","06-060",57,56
"106","IZTACALCO","RAMOS MILLAN BRAMADERO I","06-061",36,32
"107","IZTAPALAPA","CITLALLI","07-030",25,22
"108","IZTAPALAPA","EL MANTO","07-051",51,46
"109","IZTAPALAPA","EL MIRADOR","07-053",26,25
"110","IZTAPALAPA","EL SANTUARIO","07-060",21,17
"111","IZTAPALAPA","EL VERGEL","07-066",29,23
"112","IZTAPALAPA","ESCUADRON 201","07-071",34,34
"113","IZTAPALAPA","FUEGO NUEVO","07-077",14,13
"114","IZTAPALAPA","GUADALUPE DEL MORAL","07-088",64,63
"115","IZTAPALAPA","JACARANDAS","07-097",57,48
"116","IZTAPALAPA","LA PLANTA","07-113",18,16
"117","IZTAPALAPA","LAS PEAS I","07-118",16,15
"118","IZTAPALAPA","MIRASOLES (U HAB)","07-142",25,25
"119","IZTAPALAPA","PRESIDENTES DE MEXICO","07-162",34,34
"120","IZTAPALAPA","SAN ANTONIO (BARR)","07-177",64,61
"121","IZTAPALAPA","SAN JUAN JOYA (PJE)","07-186",NA,NA
"122","IZTAPALAPA","SAN LORENZO TEZONCO (PBLO)","07-191",46,45
"123","IZTAPALAPA","SANTA MARTHA ACATITLA","07-215",20,19
"124","IZTAPALAPA","SOLIDARIDAD EL SALADO (U HAB)","07-225",13,13
"125","IZTAPALAPA","TENORIOS","07-229",29,28
"126","IZTAPALAPA","VALLE DE LUCES I","07-237",14,13
"127","IZTAPALAPA","CERRO DE LA ESTRELLA I","07-260",21,17
"128","IZTAPALAPA","CONSEJO AGRARISTA MEXICANO I","07-264",63,58
"129","IZTAPALAPA","CONSTITUCION DE 1917 I","07-266",16,16
"130","IZTAPALAPA","DESARROLLO URBANO QUETZALCOATL  I","07-268",27,24
"131","IZTAPALAPA","DESARROLLO URBANO QUETZALCOATL  II","07-269",66,67
"132","IZTAPALAPA","DESARROLLO URBANO QUETZALCOATL  III","07-270",56,56
"133","IZTAPALAPA","LOMAS DE SAN LORENZO I","07-283",101,97
"134","IZTAPALAPA","LOMAS DE SAN LORENZO II","07-284",70,66
"135","IZTAPALAPA","SAN JUAN XALPA I","07-289",27,24
"136","IZTAPALAPA","SAN MIGUEL TEOTONGO II","07-292",47,42
"137","IZTAPALAPA","STA MARTHA ACATITLA NTE (AMPL) I","07-299",25,23
"138","IZTAPALAPA","TEPALCATES I","07-301",21,19
"139","IZTAPALAPA","VALLE DE SAN LORENZO I","07-303",30,31
"140","LA MAGDALENA CONTRERAS","BARRANCA SECA","08-002",18,18
"141","LA MAGDALENA CONTRERAS","CAZULCO (BARR)","08-004",NA,NA
"142","LA MAGDALENA CONTRERAS","CUAUHTEMOC","08-005",33,31
"143","LA MAGDALENA CONTRERAS","EL OCOTAL","08-009",40,39
"144","LA MAGDALENA CONTRERAS","EL ROSAL","08-010",39,35
"145","LA MAGDALENA CONTRERAS","EL TANQUE","08-011",36,37
"146","LA MAGDALENA CONTRERAS","HEROES DE PADIERNA","08-013",24,23
"147","LA MAGDALENA CONTRERAS","HUAYATLA","08-014",29,25
"148","LA MAGDALENA CONTRERAS","LA CARBONERA","08-020",12,13
"149","LA MAGDALENA CONTRERAS","LA CRUZ","08-022",24,21
"150","LA MAGDALENA CONTRERAS","LA MALINCHE","08-025",50,49
"151","LA MAGDALENA CONTRERAS","LAS CRUCES","08-027",59,54
"152","LA MAGDALENA CONTRERAS","LOMAS DE SAN BERNABE","08-030",40,40
"153","LA MAGDALENA CONTRERAS","LOMAS DE SAN BERNABE (AMPL)","08-031",30,28
"154","LA MAGDALENA CONTRERAS","LOMAS QUEBRADAS","08-032",23,25
"155","LA MAGDALENA CONTRERAS","LOS PADRES","08-033",30,28
"156","LA MAGDALENA CONTRERAS","POTRERILLO","08-036",12,10
"157","LA MAGDALENA CONTRERAS","PUEBLO NUEVO ALTO","08-038",21,20
"158","LA MAGDALENA CONTRERAS","PUEBLO NUEVO BAJO","08-039",9,8
"159","LA MAGDALENA CONTRERAS","SAN BARTOLO AMEYALCO","08-041",12,9
"160","LA MAGDALENA CONTRERAS","SAN BERNABE OCOTEPEC (PBLO)","08-042",40,35
"161","LA MAGDALENA CONTRERAS","SAN JERONIMO ACULCO - LIDICE (PBLO)","08-045",44,39
"162","LA MAGDALENA CONTRERAS","SAN NICOLAS TOTOLAPAN (PBLO)","08-048",84,82
"163","LA MAGDALENA CONTRERAS","TIERRA UNIDA","08-052",20,14
"164","MILPA ALTA","SAN ANTONIO TECOMITL (PBLO)","09-002",147,148
"165","MILPA ALTA","SAN BARTOLOME XICOMULCO (PBLO)","09-003",42,42
"166","MILPA ALTA","SAN FRANCISCO TECOXPA (PBLO)","09-004",13,11
"167",NA,NA,"09-008",83,79
"168","MILPA ALTA","SAN PEDRO ATOCPAN (PBLO)","09-009",41,31
"169","MILPA ALTA","SAN SALVADOR CUAUHTENCO (PBLO)","09-010",55,55
"170","MILPA ALTA","SANTA ANA TLACOTENCO (PBLO)","09-011",37,35
"171","MILPA ALTA","VILLA MILPA ALTA (PBLO)","09-012",112,111
"172","ALVARO OBREGON","ALFONSO XIII","10-009",33,31
"173","ALVARO OBREGON","BARRIO NORTE","10-026",60,51
"174","ALVARO OBREGON","BELLA VISTA","10-031",40,36
"175","ALVARO OBREGON","GARCIMARRERO NORTE","10-077",12,12
"176","ALVARO OBREGON","GUADALUPE INN","10-084",NA,NA
"177","ALVARO OBREGON","HERON PROAL","10-085",10,6
"178","ALVARO OBREGON","JALALPA EL GRANDE","10-089",30,29
"179","ALVARO OBREGON","JARDINES DEL PEDREGAL","10-091",30,27
"180","ALVARO OBREGON","JOSE MARIA PINO SUAREZ","10-092",25,23
"181","ALVARO OBREGON","LA MARTINICA","10-105",46,42
"182","ALVARO OBREGON","LA MEXICANA","10-106",12,8
"183","ALVARO OBREGON","LAS AGUILAS","10-114",11,10
"184","ALVARO OBREGON","LAS AGUILAS (AMPL)","10-115",17,17
"185","ALVARO OBREGON","LOMAS DE BECERRA","10-124",27,24
"186","ALVARO OBREGON","LOMAS DE LA ERA","10-132",63,61
"187","ALVARO OBREGON","MERCED GOMEZ","10-151",30,27
"188","ALVARO OBREGON","MOLINO DE ROSAS","10-157",20,21
"189","ALVARO OBREGON","MOLINO DE SANTO DOMINGO","10-159",21,21
"190","ALVARO OBREGON","OLIVAR DE LOS PADRES","10-163",20,21
"191","ALVARO OBREGON","PALMAS AXOTITLA","10-167",11,12
"192","ALVARO OBREGON","PILOTO (ADOLFO LOPEZ MATEOS)","10-171",17,16
"193","ALVARO OBREGON","PILOTO (ADOLFO LOPEZ MATEOS) (AMPL)","10-172",28,27
"194","ALVARO OBREGON","PROGRESO TIZAPAN","10-182",30,27
"195","ALVARO OBREGON","SAN BARTOLO AMEYALCO (PBLO)","10-194",120,112
"196","ALVARO OBREGON","SANTA FE","10-198",20,19
"197","ALVARO OBREGON","SANTA ROSA XOCHIAC (PBLO)","10-204",51,48
"198","ALVARO OBREGON","TETELPAN (PBLO)","10-214",13,13
"199","ALVARO OBREGON","TIZAPAN_TIZAPAN SAN ANGEL","10-217",30,29
"200","ALVARO OBREGON","TORRES DE POTRERO","10-228",52,47
"201","ALVARO OBREGON","1RA VICTORIA SECCION BOSQUES","10-243",23,22
"202","ALVARO OBREGON","OLIVAR DEL CONDE 1RA SECCION I","10-252",29,26
"203","ALVARO OBREGON","OLIVAR DEL CONDE 1RA SECCION II","10-253",17,16
"204","ALVARO OBREGON","OLIVAR DEL CONDE 2DA SECCION I","10-254",20,19
"205","ALVARO OBREGON","OLIVAR DEL CONDE 2DA SECCION II","10-255",18,11
"206","TLAHUAC","AGRICOLA METROPOLITANA","11-001",39,36
"207","TLAHUAC","DEL MAR SUR","11-004",48,45
"208","TLAHUAC","LA DRAGA","11-014",29,23
"209","TLAHUAC","LOS OLIVOS","11-024",26,23
"210","TLAHUAC","MIGUEL HIDALGO","11-025",53,44
"211","TLAHUAC","MIGUEL HIDALGO OTE","11-026",27,26
"212","TLAHUAC","PEA ALTA","11-029",11,10
"213","TLAHUAC","SAN ANDRES MIXQUIC (PBLO)","11-031",61,62
"214","TLAHUAC","SAN FRANCISCO TLALTENCO (PBLO)","11-032",137,125
"215","TLAHUAC","SAN JOSE","11-033",49,46
"216","TLAHUAC","SAN PEDRO TLAHUAC (PBLO)","11-038",61,63
"217","TLAHUAC","SANTIAGO ZAPOTITLAN (PBLO)","11-042",46,41
"218","TLAHUAC","SELENE (AMPL)","11-043",50,52
"219","TLAHUAC","SELENE 1a SECC","11-044",70,68
"220","TLAHUAC","UNIDADES HABITACIONALES DE SANTA ANA PONIENTE I","11-055",30,27
"221","TLAHUAC","LA CONCHITA I","11-056",36,33
"222","TLAHUAC","LA CONCHITA II","11-057",110,102
"223","TLALPAN","AMPLIACION MIGUEL HIDALGO 2A SECC","12-002",37,39
"224","TLALPAN","AMPLIACION MIGUEL HIDALGO 3A SECC","12-003",38,38
"225","TLALPAN","CUCHILLA DE PADIERNA","12-030",NA,NA
"226","TLALPAN","LA MAGDALENA PETLACALCO (PBLO)","12-074",19,15
"227","TLALPAN","MESA LOS HORNOS, TEXCALTENCO","12-094",29,23
"228","TLALPAN","MIGUEL HIDALGO","12-095",43,39
"229","TLALPAN","PEDREGAL DE SN NICOLAS 1A SECC","12-117",23,21
