"","alcaldia","colonia","clave_colonia","total_201123","total_201125","total_201126","total_201127","total_201128","total_201129"
"1","AZCAPOTZALCO","ARENAL","02-006",NA,NA,6,8,8,8
"2","AZCAPOTZALCO","CUITLHUAC 3 Y 4 (U HAB)","02-014",NA,NA,NA,NA,NA,NA
"3","AZCAPOTZALCO","DEL GAS","02-015",6,11,9,14,14,15
"4","AZCAPOTZALCO","DEL RECREO","02-018",NA,NA,10,13,20,21
"5","AZCAPOTZALCO","EL ROSARIO C (U HAB)","02-025",NA,7,14,20,25,30
"6","AZCAPOTZALCO","NUEVO SAN RAFAEL (BARR)","02-053",NA,NA,NA,NA,NA,NA
"7","AZCAPOTZALCO","SAN  MIGUEL AMANTLA (PBLO)","02-069",NA,6,7,8,13,10
"8","AZCAPOTZALCO","SAN JUAN TLIHUACA (PBLO)","02-079",NA,NA,8,11,14,14
"9","AZCAPOTZALCO","SAN MARCOS (BARR)","02-080",NA,NA,NA,9,14,14
"10","AZCAPOTZALCO","SAN PEDRO XALPA (PBLO)","02-085",NA,NA,NA,11,10,13
"11","AZCAPOTZALCO","SANTIAGO AHUIZOTLA (PBLO)","02-097",NA,8,7,9,10,10
"12","AZCAPOTZALCO","SANTO TOMAS","02-099",NA,NA,NA,NA,NA,NA
"13","AZCAPOTZALCO","TEZOZOMOC","02-102",NA,NA,7,11,12,14
"14","AZCAPOTZALCO","TLATILCO","02-104",NA,NA,NA,NA,NA,NA
"15","AZCAPOTZALCO","SAN PEDRO XALPA (AMPL) I","02-111",NA,9,8,8,10,11
"16","AZCAPOTZALCO","SAN PEDRO XALPA (AMPL) II","02-112",NA,NA,NA,NA,NA,NA
"17","COYOACAN","CTM V CULHUACAN (U HAB)","03-029",NA,NA,NA,6,10,10
"18","COYOACAN","CTM VI CULHUACAN (U HAB)","03-030",NA,8,8,8,9,9
"19","COYOACAN","CTM VII CULHUACAN (U HAB)","03-031",NA,NA,NA,6,8,9
"20","COYOACAN","DE LA CANDELARIA (PBLO)","03-036",NA,NA,6,9,11,11
"21","COYOACAN","DEL CARMEN","03-037",6,12,8,8,12,12
"22","COYOACAN","EDUCACION","03-039",NA,NA,NA,NA,NA,NA
"23","COYOACAN","LOS REYES (PBLO)","03-078",NA,12,17,23,32,31
"24","COYOACAN","PRADO CHURUBUSCO","03-094",NA,NA,NA,6,11,11
"25","COYOACAN","SAN FRANCISCO CULHUACAN (PBLO)","03-101",NA,6,10,11,15,16
"26","COYOACAN","SANTA URSULA COAPA (PBLO)","03-109",NA,NA,14,17,20,21
