"","alcaldia","colonia","clave_colonia","total_210125","total_210126","total_210127","total_210128","total_210129","total_210130","total_210131"
"1","AZCAPOTZALCO","ARENAL","02-006",9,8,10,11,10,10,8
"2","AZCAPOTZALCO","CUITLHUAC 3 Y 4 (U HAB)","02-014",9,7,6,NA,NA,6,6
"3","AZCAPOTZALCO","DEL GAS","02-015",14,10,9,9,10,14,13
"4","AZCAPOTZALCO","DEL RECREO","02-018",36,36,35,39,42,36,35
"5","AZCAPOTZALCO","EL ROSARIO C (U HAB)","02-025",75,71,62,57,64,59,56
"6","AZCAPOTZALCO","NUEVO SAN RAFAEL (BARR)","02-053",7,7,7,8,8,7,6
"7","AZCAPOTZALCO","SAN  MIGUEL AMANTLA (PBLO)","02-069",28,23,21,17,16,17,14
"8","AZCAPOTZALCO","SAN JUAN TLIHUACA (PBLO)","02-079",41,31,23,23,26,30,26
"9","AZCAPOTZALCO","SAN MARCOS (BARR)","02-080",19,17,14,18,17,18,17
"10","AZCAPOTZALCO","SAN PEDRO XALPA (PBLO)","02-085",30,27,26,23,21,29,26
"11","AZCAPOTZALCO","SANTIAGO AHUIZOTLA (PBLO)","02-097",32,28,35,35,33,38,38
"12","AZCAPOTZALCO","SANTO TOMAS","02-099",6,6,NA,NA,NA,NA,NA
"13","AZCAPOTZALCO","TEZOZOMOC","02-102",52,48,50,43,44,41,34
"14","AZCAPOTZALCO","TLATILCO","02-104",19,19,13,9,9,NA,6
"15","AZCAPOTZALCO","SAN PEDRO XALPA (AMPL) I","02-111",67,66,65,61,59,57,50
"16","AZCAPOTZALCO","SAN PEDRO XALPA (AMPL) II","02-112",24,23,28,33,33,39,37
"17","COYOACAN","CTM V CULHUACAN (U HAB)","03-029",37,32,36,29,29,29,27
"18","COYOACAN","CTM VI CULHUACAN (U HAB)","03-030",35,30,29,27,27,25,24
"19","COYOACAN","CTM VII CULHUACAN (U HAB)","03-031",23,22,21,22,19,18,16
"20","COYOACAN","DE LA CANDELARIA (PBLO)","03-036",38,36,30,31,28,22,22
"21","COYOACAN","DEL CARMEN","03-037",20,18,17,16,17,14,14
"22","COYOACAN","EDUCACION","03-039",36,32,32,31,27,22,21
"23","COYOACAN","LOS REYES (PBLO)","03-078",69,63,58,55,57,58,50
"24","COYOACAN","PRADO CHURUBUSCO","03-094",15,15,18,20,18,20,19
"25","COYOACAN","SAN FRANCISCO CULHUACAN (PBLO)","03-101",44,43,50,48,47,44,40
"26","COYOACAN","SANTA URSULA COAPA (PBLO)","03-109",51,50,54,52,52,54,53
"27","COYOACAN","VIEJO EJIDO SANTA URSULA COAPA","03-113",52,48,38,34,39,32,29
"28","COYOACAN","VILLA COYOACAN","03-114",16,16,13,11,10,11,10
"29","COYOACAN","AJUSCO I","03-128",81,79,69,63,61,62,51
"30","COYOACAN","AJUSCO II","03-129",71,62,58,59,61,57,57
"31","COYOACAN","PEDREGAL DE SANTA URSULA I","03-135",69,62,61,59,64,59,56
"32","COYOACAN","PEDREGAL DE SANTA URSULA II","03-136",86,80,77,78,75,71,64
"33","COYOACAN","PEDREGAL DE SANTA URSULA III","03-137",80,75,69,62,62,57,50
"34","COYOACAN","PEDREGAL DE STO DOMINGO I","03-139",25,24,28,28,28,27,26
"35","COYOACAN","PEDREGAL DE STO DOMINGO II","03-140",57,51,54,53,51,51,49
"36","COYOACAN","PEDREGAL DE STO DOMINGO IV","03-142",84,77,79,76,70,64,59
"37","COYOACAN","PEDREGAL DE STO DOMINGO V","03-143",51,46,44,45,38,42,39
"38","COYOACAN","PEDREGAL DE STO DOMINGO VI","03-144",69,63,60,56,49,42,41
"39","COYOACAN","PEDREGAL DE STO DOMINGO VII","03-145",39,36,44,41,41,39,42
"40","COYOACAN","PEDREGAL DE STO DOMINGO IX","03-147",34,34,33,33,32,29,27
"41","CUAJIMALPA DE MORELOS","EL CONTADERO","04-015",11,10,7,7,NA,NA,NA
"42","CUAJIMALPA DE MORELOS","LA PILA","04-023",18,19,19,19,20,16,13
"43","CUAJIMALPA DE MORELOS","LAS LAJAS","04-026",13,12,10,9,6,6,NA
"44","CUAJIMALPA DE MORELOS","TEXCALCO","04-027",NA,NA,NA,NA,NA,NA,NA
"45","CUAJIMALPA DE MORELOS","LOMA DEL PADRE","04-030",28,25,23,21,22,24,23
"46","CUAJIMALPA DE MORELOS","NAVIDAD (GRANJAS DE NAVIDAD)","04-036",79,77,64,66,71,72,61
"47","CUAJIMALPA DE MORELOS","PALO ALTO (GRANJAS)","04-038",17,17,17,16,15,15,14
"48","CUAJIMALPA DE MORELOS","SAN LORENZO ACOPILCO (PBLO)","04-045",28,31,34,31,32,33,24
"49","CUAJIMALPA DE MORELOS","SAN MATEO TLALTENANGO (PBLO)","04-046",36,37,38,32,30,31,24
"50","CUAJIMALPA DE MORELOS","ZENTLAPATL","04-052",32,28,25,16,17,16,15
"51","CUAJIMALPA DE MORELOS","SAN PEDRO CUAJIMALPA (PBLO)","04-056",59,54,52,52,51,51,52
"52","CUAJIMALPA DE MORELOS","SAN JOSE DE LOS CEDROS I","04-058",34,35,31,30,29,23,23
"53","CUAJIMALPA DE MORELOS","SAN JOSE DE LOS CEDROS II","04-059",36,34,37,35,27,25,23
"54","GUSTAVO A. MADERO","CONSTITUCION DE LA REPUBLICA","05-029",34,30,38,40,39,43,41
"55","GUSTAVO A. MADERO","CUCHILLA DEL TESORO","05-035",68,68,55,62,57,55,51
"56","GUSTAVO A. MADERO","DEL BOSQUE","05-038",22,18,22,22,26,26,23
"57","GUSTAVO A. MADERO","EJIDOS SAN JUAN DE ARAGON 1A SECCION (U HAB)","05-043",17,17,16,17,17,13,10
"58","GUSTAVO A. MADERO","EL ARBOLILLO 1 (U HAB)","05-046",22,21,21,21,23,20,16
"59","GUSTAVO A. MADERO","GABRIEL HERNANDEZ","05-063",48,41,43,50,50,49,48
"60","GUSTAVO A. MADERO","LA JOYA","05-102",77,78,70,66,58,55,46
"61","GUSTAVO A. MADERO","LA PURISIMA TICOMAN (BARR)","05-111",38,36,34,36,31,33,30
"62","GUSTAVO A. MADERO","LINDAVISTA VALLEJO (U HAB)","05-113",12,11,12,16,15,18,17
"63","GUSTAVO A. MADERO","LOMA DE LA PALMA","05-114",43,36,36,40,43,40,35
"64","GUSTAVO A. MADERO","MARTIRES DE RIO BLANCO","05-124",43,41,38,36,35,31,29
"65","GUSTAVO A. MADERO","NUEVA TENOCHTITLAN","05-130",50,47,50,48,54,49,41
"66","GUSTAVO A. MADERO","NUEVA VALLEJO","05-131",31,27,30,27,27,28,25
"67","GUSTAVO A. MADERO","PALMATITLA","05-132",54,54,55,54,52,57,52
"68","GUSTAVO A. MADERO","SALVADOR DIAZ MIRON","05-149",28,29,23,20,17,23,20
"69","GUSTAVO A. MADERO","SAN BARTOLO ATEPEHUACAN (PBLO)","05-151",37,35,35,36,34,35,31
"70","GUSTAVO A. MADERO","SAN JUAN DE ARAGON (PBLO)","05-156",74,75,70,72,74,72,66
"71","GUSTAVO A. MADERO","SAN JUAN DE ARAGON 3A SECCION (U HAB) I","05-159",22,19,19,22,21,22,18
"72","GUSTAVO A. MADERO","SANTA ISABEL TOLA (PBLO)","05-170",40,39,39,45,48,56,49
"73","GUSTAVO A. MADERO","TEPEYAC INSURGENTES","05-181",47,38,37,40,36,35,35
"74","GUSTAVO A. MADERO","TORRES DE QUIROGA (U HAB)","05-185",17,19,17,18,17,14,14
"75","GUSTAVO A. MADERO","25 DE JULIO","05-208",26,23,19,22,26,22,21
"76","GUSTAVO A. MADERO","CASAS ALEMAN (AMPL) I","05-217",44,36,34,40,42,44,38
"77","GUSTAVO A. MADERO","GABRIEL HERNANDEZ (AMPL) II","05-222",21,25,22,24,22,22,22
"78","GUSTAVO A. MADERO","INDUSTRIAL I","05-223",29,27,30,28,24,31,30
"79","GUSTAVO A. MADERO","NUEVA ATZACOALCO II","05-230",52,52,49,50,49,56,50
"80","GUSTAVO A. MADERO","NUEVA ATZACOALCO III","05-231",36,33,31,34,32,38,33
"81","GUSTAVO A. MADERO","SAN FELIPE DE JESUS I","05-237",32,32,30,25,23,22,19
"82","GUSTAVO A. MADERO","SAN FELIPE DE JESUS II","05-238",43,39,40,47,44,46,46
"83","GUSTAVO A. MADERO","SAN FELIPE DE JESUS III","05-239",71,70,64,62,65,64,62
"84","GUSTAVO A. MADERO","SAN FELIPE DE JESUS IV","05-240",92,90,78,82,80,79,63
"85","GUSTAVO A. MADERO","SAN JUAN DE ARAGON 1A SECCION (U HAB) I","05-241",53,50,51,52,48,44,39
"86","GUSTAVO A. MADERO","SAN JUAN DE ARAGON 1A SECCION (U HAB) II","05-242",18,17,24,24,30,27,27
"87","GUSTAVO A. MADERO","SAN JUAN DE ARAGON 4A  Y 5A SECCION (U HAB) II","05-246",39,36,29,28,26,27,25
"88","GUSTAVO A. MADERO","SAN JUAN DE ARAGON 7 SECC (U HAB) II","05-248",12,13,13,15,15,16,16
"89","GUSTAVO A. MADERO","VALLEJO II","05-250",22,18,20,23,25,24,22
"90","GUSTAVO A. MADERO","ZONA ESCOLAR I","05-251",24,23,21,20,21,17,14
"91","GUSTAVO A. MADERO","ZONA ESCOLAR II","05-252",35,32,34,35,35,32,28
"92","IZTACALCO","SANTA ANITA","06-032",62,64,65,65,60,60,64
"93","IZTACALCO","TLACOTAL RAMOS MILLAN","06-036",40,41,37,35,36,36,31
"94","IZTACALCO","VIADUCTO PIEDAD","06-038",15,16,15,15,17,16,16
"95","IZTACALCO","AGRICOLA ORIENTAL II","06-041",39,30,27,24,26,26,21
"96","IZTACALCO","AGRICOLA ORIENTAL V","06-044",37,35,37,36,39,37,26
"97","IZTACALCO","CAMPAMENTO 2 DE OCTUBRE I","06-048",53,51,57,58,50,48,42
"98","IZTACALCO","CAMPAMENTO 2 DE OCTUBRE II","06-049",24,23,26,32,30,26,22
"99","IZTACALCO","GRANJAS MEXICO I","06-050",44,41,38,30,26,27,29
"100","IZTACALCO","GRANJAS MEXICO II","06-051",28,29,29,27,22,16,16
"101","IZTACALCO","JUVENTINO ROSAS I","06-054",31,28,30,32,35,33,29
"102","IZTACALCO","PANTITLAN II","06-057",46,38,47,44,41,50,46
"103","IZTACALCO","PANTITLAN III","06-058",12,10,8,11,13,14,16
"104","IZTACALCO","PANTITLAN IV","06-059",61,61,64,61,60,58,50
"105","IZTACALCO","PANTITLAN V","06-060",58,52,53,49,45,41,37
"106","IZTACALCO","RAMOS MILLAN BRAMADERO I","06-061",49,47,40,41,42,40,39
"107","IZTAPALAPA","CITLALLI","07-030",43,37,36,38,33,36,35
"108","IZTAPALAPA","EL MANTO","07-051",59,52,44,40,41,44,39
"109","IZTAPALAPA","EL MIRADOR","07-053",31,30,28,29,30,26,22
"110","IZTAPALAPA","EL SANTUARIO","07-060",31,28,26,21,24,28,23
"111","IZTAPALAPA","EL VERGEL","07-066",51,42,40,44,43,39,33
"112","IZTAPALAPA","ESCUADRON 201","07-071",55,51,44,42,39,40,36
"113","IZTAPALAPA","FUEGO NUEVO","07-077",56,43,38,40,35,36,30
"114","IZTAPALAPA","GUADALUPE DEL MORAL","07-088",59,54,50,55,62,65,59
"115","IZTAPALAPA","JACARANDAS","07-097",73,64,67,63,62,69,69
"116","IZTAPALAPA","LA PLANTA","07-113",53,49,39,34,35,33,34
"117","IZTAPALAPA","LAS PEAS I","07-118",25,22,23,19,21,19,19
"118","IZTAPALAPA","MIRASOLES (U HAB)","07-142",39,33,33,29,32,33,29
"119","IZTAPALAPA","PRESIDENTES DE MEXICO","07-162",69,60,61,59,57,55,55
"120","IZTAPALAPA","SAN ANTONIO (BARR)","07-177",59,58,59,52,63,70,67
"121","IZTAPALAPA","SAN JUAN JOYA (PJE)","07-186",NA,NA,NA,NA,NA,NA,NA
"122","IZTAPALAPA","SAN LORENZO TEZONCO (PBLO)","07-191",59,53,53,53,51,54,45
"123","IZTAPALAPA","SANTA MARTHA ACATITLA","07-215",36,35,32,27,22,20,17
"124","IZTAPALAPA","SOLIDARIDAD EL SALADO (U HAB)","07-225",14,15,13,14,17,25,24
"125","IZTAPALAPA","TENORIOS","07-229",31,28,36,42,39,40,36
"126","IZTAPALAPA","VALLE DE LUCES I","07-237",25,23,23,19,18,21,19
"127","IZTAPALAPA","CERRO DE LA ESTRELLA I","07-260",32,27,28,32,34,33,27
"128","IZTAPALAPA","CONSEJO AGRARISTA MEXICANO I","07-264",85,74,70,73,73,70,54
"129","IZTAPALAPA","CONSTITUCION DE 1917 I","07-266",24,23,22,24,27,26,27
"130","IZTAPALAPA","DESARROLLO URBANO QUETZALCOATL  I","07-268",36,32,32,31,38,38,36
"131","IZTAPALAPA","DESARROLLO URBANO QUETZALCOATL  II","07-269",79,72,75,80,86,96,83
"132","IZTAPALAPA","DESARROLLO URBANO QUETZALCOATL  III","07-270",83,70,63,65,71,73,66
"133","IZTAPALAPA","LOMAS DE SAN LORENZO I","07-283",85,72,72,77,80,89,81
"134","IZTAPALAPA","LOMAS DE SAN LORENZO II","07-284",134,120,108,95,95,90,84
"135","IZTAPALAPA","SAN JUAN XALPA I","07-289",33,26,31,33,31,32,32
"136","IZTAPALAPA","SAN MIGUEL TEOTONGO II","07-292",68,60,62,60,63,64,60
"137","IZTAPALAPA","STA MARTHA ACATITLA NTE (AMPL) I","07-299",38,31,28,25,24,34,32
"138","IZTAPALAPA","TEPALCATES I","07-301",36,35,38,38,37,36,33
"139","IZTAPALAPA","VALLE DE SAN LORENZO I","07-303",62,55,48,52,50,54,45
"140","LA MAGDALENA CONTRERAS","BARRANCA SECA","08-002",46,42,39,35,29,28,25
"141","LA MAGDALENA CONTRERAS","CAZULCO (BARR)","08-004",7,8,8,8,8,7,6
"142","LA MAGDALENA CONTRERAS","CUAUHTEMOC","08-005",47,48,48,49,53,55,53
"143","LA MAGDALENA CONTRERAS","EL OCOTAL","08-009",69,70,63,64,63,64,60
"144","LA MAGDALENA CONTRERAS","EL ROSAL","08-010",63,62,61,60,56,52,48
"145","LA MAGDALENA CONTRERAS","EL TANQUE","08-011",44,45,39,35,30,34,30
"146","LA MAGDALENA CONTRERAS","HEROES DE PADIERNA","08-013",35,31,29,33,36,38,38
"147","LA MAGDALENA CONTRERAS","HUAYATLA","08-014",19,18,17,17,22,23,25
"148","LA MAGDALENA CONTRERAS","LA CARBONERA","08-020",46,42,42,39,33,31,25
"149","LA MAGDALENA CONTRERAS","LA CRUZ","08-022",21,23,22,22,22,25,23
"150","LA MAGDALENA CONTRERAS","LA MALINCHE","08-025",86,82,89,87,83,81,70
"151","LA MAGDALENA CONTRERAS","LAS CRUCES","08-027",83,80,81,69,77,76,68
"152","LA MAGDALENA CONTRERAS","LOMAS DE SAN BERNABE","08-030",73,73,65,61,66,72,63
"153","LA MAGDALENA CONTRERAS","LOMAS DE SAN BERNABE (AMPL)","08-031",35,35,35,33,36,35,34
"154","LA MAGDALENA CONTRERAS","LOMAS QUEBRADAS","08-032",30,27,28,31,32,30,26
"155","LA MAGDALENA CONTRERAS","LOS PADRES","08-033",42,41,42,42,42,38,38
"156","LA MAGDALENA CONTRERAS","POTRERILLO","08-036",31,30,29,25,20,20,18
"157","LA MAGDALENA CONTRERAS","PUEBLO NUEVO ALTO","08-038",64,64,59,46,44,39,38
"158","LA MAGDALENA CONTRERAS","PUEBLO NUEVO BAJO","08-039",24,24,21,18,20,21,19
"159","LA MAGDALENA CONTRERAS","SAN BARTOLO AMEYALCO","08-041",30,31,28,23,24,24,22
"160","LA MAGDALENA CONTRERAS","SAN BERNABE OCOTEPEC (PBLO)","08-042",83,82,86,80,71,73,71
"161","LA MAGDALENA CONTRERAS","SAN JERONIMO ACULCO - LIDICE (PBLO)","08-045",73,69,68,66,66,64,58
"162","LA MAGDALENA CONTRERAS","SAN NICOLAS TOTOLAPAN (PBLO)","08-048",89,93,89,85,80,82,80
"163","LA MAGDALENA CONTRERAS","TIERRA UNIDA","08-052",19,19,22,21,25,24,23
"164","MILPA ALTA","SAN ANTONIO TECOMITL (PBLO)","09-002",232,221,209,215,200,190,188
"165","MILPA ALTA","SAN BARTOLOME XICOMULCO (PBLO)","09-003",49,49,50,51,52,54,52
"166","MILPA ALTA","SAN FRANCISCO TECOXPA (PBLO)","09-004",31,28,25,22,20,17,17
"167",NA,NA,"09-008",198,187,180,169,160,154,144
"168","MILPA ALTA","SAN PEDRO ATOCPAN (PBLO)","09-009",46,44,44,51,49,57,55
"169","MILPA ALTA","SAN SALVADOR CUAUHTENCO (PBLO)","09-010",117,96,105,105,104,99,98
"170","MILPA ALTA","SANTA ANA TLACOTENCO (PBLO)","09-011",38,38,38,37,41,40,40
"171","MILPA ALTA","VILLA MILPA ALTA (PBLO)","09-012",110,102,104,107,111,113,116
"172","ALVARO OBREGON","ALFONSO XIII","10-009",42,42,43,43,41,42,42
