"","alcaldia","colonia","clave_colonia","total_210301","total_210302","total_210303","total_210304","total_210305","total_210306","total_210307"
"1","AZCAPOTZALCO","ARENAL","02-006",8,7,7,8,8,8,8
"2","AZCAPOTZALCO","CUITLHUAC 3 Y 4 (U HAB)","02-014",7,8,8,8,6,7,6
"3","AZCAPOTZALCO","DEL GAS","02-015",NA,6,7,7,NA,8,8
"4","AZCAPOTZALCO","DEL RECREO","02-018",21,25,25,25,24,22,20
"5","AZCAPOTZALCO","EL ROSARIO C (U HAB)","02-025",21,22,27,25,24,26,25
"6","AZCAPOTZALCO","NUEVO SAN RAFAEL (BARR)","02-053",NA,NA,NA,NA,NA,NA,NA
"7","AZCAPOTZALCO","SAN  MIGUEL AMANTLA (PBLO)","02-069",11,14,14,13,13,13,14
"8","AZCAPOTZALCO","SAN JUAN TLIHUACA (PBLO)","02-079",11,10,12,11,10,10,9
"9","AZCAPOTZALCO","SAN MARCOS (BARR)","02-080",16,15,16,15,15,15,12
"10","AZCAPOTZALCO","SAN PEDRO XALPA (PBLO)","02-085",8,7,NA,6,8,8,6
"11","AZCAPOTZALCO","SANTIAGO AHUIZOTLA (PBLO)","02-097",11,11,13,13,15,14,14
"12","AZCAPOTZALCO","SANTO TOMAS","02-099",15,16,16,14,17,19,20
"13","AZCAPOTZALCO","TEZOZOMOC","02-102",23,21,21,18,21,24,22
"14","AZCAPOTZALCO","TLATILCO","02-104",15,13,15,15,14,14,14
"15","AZCAPOTZALCO","SAN PEDRO XALPA (AMPL) I","02-111",20,22,24,23,25,25,23
"16","AZCAPOTZALCO","SAN PEDRO XALPA (AMPL) II","02-112",13,13,11,9,10,9,9
"17","COYOACAN","CTM V CULHUACAN (U HAB)","03-029",8,9,10,12,14,13,16
"18","COYOACAN","CTM VI CULHUACAN (U HAB)","03-030",16,14,12,15,17,19,17
"19","COYOACAN","CTM VII CULHUACAN (U HAB)","03-031",10,9,11,9,8,7,8
"20","COYOACAN","DE LA CANDELARIA (PBLO)","03-036",21,19,18,17,14,12,9
"21","COYOACAN","DEL CARMEN","03-037",12,12,15,14,20,23,22
"22","COYOACAN","EDUCACION","03-039",12,14,17,21,18,18,17
"23","COYOACAN","LOS REYES (PBLO)","03-078",15,15,18,19,23,24,25
"24","COYOACAN","PRADO CHURUBUSCO","03-094",NA,NA,6,6,7,6,NA
"25","COYOACAN","SAN FRANCISCO CULHUACAN (PBLO)","03-101",11,12,12,19,21,20,18
"26","COYOACAN","SANTA URSULA COAPA (PBLO)","03-109",22,20,21,20,18,18,19
"27","COYOACAN","VIEJO EJIDO SANTA URSULA COAPA","03-113",18,21,22,26,21,21,21
"28","COYOACAN","VILLA COYOACAN","03-114",11,10,10,10,8,11,10
"29","COYOACAN","AJUSCO I","03-128",28,27,31,31,30,24,25
"30","COYOACAN","AJUSCO II","03-129",14,15,12,15,17,20,18
"31","COYOACAN","PEDREGAL DE SANTA URSULA I","03-135",26,26,25,27,30,31,31
"32","COYOACAN","PEDREGAL DE SANTA URSULA II","03-136",37,36,27,21,21,22,19
"33","COYOACAN","PEDREGAL DE SANTA URSULA III","03-137",32,33,34,36,43,43,43
"34","COYOACAN","PEDREGAL DE STO DOMINGO I","03-139",17,12,13,13,12,12,9
"35","COYOACAN","PEDREGAL DE STO DOMINGO II","03-140",27,28,28,20,19,25,21
"36","COYOACAN","PEDREGAL DE STO DOMINGO IV","03-142",47,48,45,48,51,50,47
"37","COYOACAN","PEDREGAL DE STO DOMINGO V","03-143",25,30,28,28,25,23,19
"38","COYOACAN","PEDREGAL DE STO DOMINGO VI","03-144",21,23,20,19,18,17,17
"39","COYOACAN","PEDREGAL DE STO DOMINGO VII","03-145",23,25,22,24,22,21,19
"40","COYOACAN","PEDREGAL DE STO DOMINGO IX","03-147",11,12,12,14,15,19,21
"41","CUAJIMALPA DE MORELOS","EL CONTADERO","04-015",NA,NA,NA,NA,NA,NA,NA
"42","CUAJIMALPA DE MORELOS","LA PILA","04-023",NA,NA,NA,NA,NA,NA,NA
"43","CUAJIMALPA DE MORELOS","LAS LAJAS","04-026",NA,NA,NA,NA,NA,NA,NA
"44","CUAJIMALPA DE MORELOS","TEXCALCO","04-027",NA,NA,NA,NA,NA,NA,NA
"45","CUAJIMALPA DE MORELOS","LOMA DEL PADRE","04-030",6,6,NA,NA,6,NA,NA
"46","CUAJIMALPA DE MORELOS","NAVIDAD (GRANJAS DE NAVIDAD)","04-036",26,29,31,34,36,35,31
"47","CUAJIMALPA DE MORELOS","PALO ALTO (GRANJAS)","04-038",NA,NA,NA,NA,NA,NA,NA
"48","CUAJIMALPA DE MORELOS","SAN LORENZO ACOPILCO (PBLO)","04-045",10,9,13,14,18,17,18
"49","CUAJIMALPA DE MORELOS","SAN MATEO TLALTENANGO (PBLO)","04-046",12,13,14,15,20,24,27
"50","CUAJIMALPA DE MORELOS","ZENTLAPATL","04-052",NA,NA,NA,NA,6,6,6
"51","CUAJIMALPA DE MORELOS","SAN PEDRO CUAJIMALPA (PBLO)","04-056",14,15,14,15,16,20,21
"52","CUAJIMALPA DE MORELOS","SAN JOSE DE LOS CEDROS I","04-058",8,8,11,14,14,15,17
